,Well,Plate,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Big,Nuclei_Number_Dead,Nuclei_Number_Living,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
9,C12,Mat67-PD-SCP-01,Mut - PRO,0.368698,0.227178,55.4986,55.0808,31.77,31.4953,825.033,649.477,605.606,5615470.0,698.443,6.69925,11.2005,501.992,598.356,667650.0,707257.0,15920.5,7207.43,8646.14,12947.1,6556.52,0.81809,21174200.0,12519600.0,9564260.0,15303500.0,7723580.0,723.46,672.946,4743380.0,0.00252383,0.00220418,0.0024309,0.00220472,461.082,742.933,477.813,743.976,254101000.0,257154000.0,254480000.0,257125000.0,1.5907,1.70396,1.60465,1.70348,5.23818e-05,4.46579e-05,5.34166e-05,4.47066e-05,3.36114,3.42883,3.37471,3.42869,-0.329628,-0.298007,-0.322194,-0.298111,0.852633,0.830742,0.847575,0.830805,0.184161,0.154899,0.17572,0.155092,108.414,109.733,108.788,109.734,2.28963,2.28922,2.28833,2.28916,5922.42,6005.08,5941.4,6005.19,22957.3,23127.1,23009.6,23127.0,400.293,411.204,4581.66,3388.13,4496050.0,6634240.0,689.649,1144.04,-13.3595,2240.03,11.6712,-10.6498,1056.39,1285.08,251.939,771.865,1765.02,-11.8879,12.4273,314.151,9461730.0,13768.4,414.171,486.604,460.833,3811.01,1199.82,1968.05,0.917241,0.915172,0.998621,0.815172,0.812414,42.0,561.0,1450.0,1330.0,1327.0,1448.0,1182.0,1178.0,0.278966,0.721034,2909.88
10,C13,Mat67-PD-SCP-01,Mut - DMSO,0.286922,0.133352,43.9389,44.7535,14.7916,14.8986,896.812,698.701,535.888,5328100.0,727.259,4.4653,8.21279,426.884,496.596,436702.0,450413.0,14808.6,6990.36,7625.72,11117.3,6080.7,0.851556,15149200.0,8586560.0,7116190.0,10083400.0,5484790.0,769.043,573.976,4676320.0,0.00336771,0.00297199,0.00324576,0.00298235,410.36,673.97,430.739,668.09,217802000.0,220723000.0,216762000.0,220808000.0,1.54651,1.66037,1.56364,1.65803,5.7284e-05,4.91406e-05,5.79658e-05,4.93126e-05,3.29317,3.36104,3.30788,3.36039,-0.339013,-0.306805,-0.330515,-0.307146,0.855376,0.834026,0.849962,0.834271,0.201336,0.171237,0.191976,0.171887,101.629,102.814,101.873,102.816,2.25933,2.25963,2.25737,2.2598,5515.44,5589.1,5525.53,5589.28,21391.2,21535.3,21407.7,21539.0,467.481,491.07,3686.83,3280.5,3339550.0,4151370.0,705.602,1182.59,-15.0908,2365.88,10.247,-11.851,1110.07,1352.35,251.459,804.326,1862.69,-13.1454,7.10326,353.097,8526720.0,11650.7,441.694,496.945,415.448,3125.77,908.544,1401.72,0.908526,0.904085,1.0,0.805506,0.801066,16.0,469.0,1126.0,1023.0,1018.0,1126.0,907.0,902.0,0.294044,0.705956,2708.28
11,C14,Mat67-PD-SCP-01,WT - DMSO,0.319418,0.270647,46.2164,52.8047,31.3188,35.772,1021.78,674.179,490.882,3563890.0,667.593,3.40875,5.58398,413.902,404.721,435425.0,363844.0,13452.5,5044.7,5286.28,10139.8,4750.77,0.643117,14152100.0,5862480.0,5266670.0,9115730.0,4194930.0,681.552,522.328,3237900.0,0.00250186,0.00221197,0.00241517,0.00221092,431.874,692.472,445.74,694.824,189376000.0,192859000.0,188689000.0,192864000.0,1.56441,1.67127,1.57741,1.67193,5.61239e-05,4.86334e-05,5.71985e-05,4.85555e-05,3.29764,3.36093,3.31029,3.36138,-0.337343,-0.307964,-0.329659,-0.307733,0.856373,0.837185,0.851356,0.837018,0.194301,0.166626,0.186127,0.16651,100.975,102.247,101.191,102.246,2.25916,2.26013,2.25698,2.26031,5493.05,5571.0,5500.81,5571.0,21296.1,21460.1,21308.4,21458.9,390.691,389.259,1333.44,1314.56,1372400.0,1478790.0,656.611,955.876,-10.7977,1846.96,10.9757,-8.46538,880.645,1073.85,251.003,669.23,1459.9,-9.5352,10.1213,237.585,4877120.0,7156.34,503.419,611.457,395.626,2848.61,351.94,1195.58,0.945193,0.938005,0.996406,0.807727,0.793351,13.0,472.0,1113.0,1052.0,1044.0,1109.0,899.0,883.0,0.297792,0.702208,3051.5
29,D12,Mat67-PD-SCP-01,Mut - PRO,0.277445,0.156949,56.5199,48.5084,22.323,19.3965,883.674,672.901,666.094,4727360.0,707.335,6.13508,10.001,493.646,576.341,679751.0,606311.0,15566.5,5954.62,7025.34,12135.4,5348.92,0.808387,21435000.0,10320200.0,8163780.0,12766400.0,5584270.0,753.033,743.751,4027910.0,0.00316709,0.00280527,0.00307727,0.0028156,442.266,712.683,457.825,709.252,177149000.0,179194000.0,176746000.0,179221000.0,1.56359,1.67523,1.57848,1.67332,5.57078e-05,4.78939e-05,5.6711e-05,4.80768e-05,3.29438,3.3611,3.30748,3.36041,-0.33065,-0.2992,-0.322887,-0.299596,0.848786,0.826822,0.843457,0.827095,0.196805,0.167583,0.188259,0.168097,99.5887,100.803,99.8131,100.803,2.24988,2.24987,2.24776,2.24979,5238.4,5310.71,5246.16,5310.74,20280.0,20416.0,20290.3,20417.8,428.927,448.157,3134.05,2391.89,3279280.0,4603910.0,702.761,1115.36,-13.6427,2213.56,10.7706,-10.987,1039.81,1270.71,251.182,764.5,1744.54,-12.2972,13.3495,313.437,7279150.0,10045.9,430.059,514.744,520.527,3749.73,962.44,1792.54,0.935462,0.931386,0.997962,0.714674,0.709239,45.0,632.0,1472.0,1377.0,1371.0,1469.0,1052.0,1044.0,0.30038,0.69962,2843.9
30,D13,Mat67-PD-SCP-01,Mut - DMSO,0.289534,0.0784395,34.4083,48.2844,6.92847,9.58853,1294.55,406.327,567.091,12362200.0,612.186,4.19355,5.90179,363.694,374.723,90196.0,83938.0,17806.0,11324.1,30424.2,12458.8,9259.94,3.06338,4415900.0,8549200.0,2808370.0,2790780.0,2055710.0,669.994,577.158,6204100.0,0.00151187,0.00126323,0.00143076,0.00127534,473.812,741.943,493.762,737.293,281126000.0,284640000.0,281321000.0,284696000.0,1.63745,1.74599,1.65336,1.74609,4.62263e-05,3.93543e-05,4.7122e-05,3.91936e-05,3.46134,3.52487,3.47496,3.52619,-0.293923,-0.263464,-0.286735,-0.262854,0.826835,0.801732,0.821004,0.801281,0.147736,0.120453,0.139624,0.120322,108.703,109.793,109.059,109.793,2.30776,2.30454,2.3078,2.30461,5479.97,5545.42,5494.08,5545.27,21175.9,21282.8,21204.8,21284.5,331.517,448.279,25884.9,7320.58,1815500.0,7273650.0,621.818,1263.39,-15.6012,2543.13,15.5401,-13.1527,1176.84,1445.11,255.4,853.487,1997.19,-14.06,19.0806,381.549,11879500.0,20008.3,442.042,392.235,391.625,2829.94,1399.11,755.473,0.879433,0.879433,0.996454,0.794326,0.787234,4.0,116.0,282.0,248.0,248.0,281.0,224.0,222.0,0.291457,0.708543,2781.37
31,D14,Mat67-PD-SCP-01,WT - DMSO,0.277656,0.0825566,30.1354,29.5335,6.30372,6.15632,2037.3,810.058,692.118,6080450.0,745.535,1.9127,0.901639,177.238,115.221,22332.0,14057.0,9490.85,5002.02,7506.2,6844.87,4231.0,1.37526,1195850.0,1148450.0,620251.0,835074.0,507720.0,703.424,700.695,2976190.0,0.00450303,0.00414297,0.00439026,0.00412992,334.13,552.052,352.302,559.217,92488500.0,94737800.0,92209100.0,94703600.0,1.45385,1.55607,1.47146,1.55774,7.0524e-05,6.25383e-05,7.11279e-05,6.23823e-05,3.10189,3.16228,3.11689,3.16361,-0.352521,-0.323687,-0.343231,-0.323048,0.853494,0.835808,0.847588,0.835454,0.237603,0.209976,0.227897,0.20988,81.6432,82.6825,81.9006,82.6834,2.15402,2.15676,2.15135,2.15687,4174.37,4232.6,4187.46,4232.71,16173.5,16281.8,16205.8,16278.7,379.894,358.181,1079.46,1026.92,127338.0,165157.0,647.07,950.132,-11.1292,2026.93,9.90359,-8.31321,929.398,1172.02,251.0,715.75,1601.02,-9.31704,7.22209,264.284,3911820.0,5641.13,500.879,697.077,374.385,1143.43,264.477,252.426,0.823529,0.810458,1.0,0.797386,0.784314,0.0,448.0,153.0,126.0,124.0,153.0,122.0,120.0,0.745424,0.254576,2258.01
49,E12,Mat67-PD-SCP-01,Mut - PRO,0.169259,0.0982759,31.7239,48.6023,8.213,12.1151,896.401,711.815,582.398,4792650.0,759.251,4.96309,8.91286,414.171,505.706,605932.0,475869.0,13969.6,5734.08,6733.01,10732.0,5239.48,1.06141,20437600.0,10718900.0,8360290.0,10098800.0,4825560.0,842.587,622.016,4414720.0,0.00278512,0.00246516,0.0026891,0.00245838,450.527,717.746,463.027,714.483,177278000.0,178910000.0,176965000.0,178947000.0,1.57536,1.68308,1.5879,1.68292,5.43279e-05,4.70169e-05,5.55661e-05,4.6996e-05,3.31122,3.37597,3.32355,3.3761,-0.319898,-0.28884,-0.312597,-0.288711,0.84112,0.818095,0.835913,0.817988,0.188398,0.16043,0.180511,0.160542,97.295,98.4038,97.5653,98.4037,2.24801,2.24726,2.24611,2.24741,4959.67,5024.32,4970.79,5024.25,19170.9,19277.9,19195.4,19279.2,579.152,649.958,2999.46,2269.91,3309530.0,4775150.0,664.845,966.724,-9.95208,2231.45,11.44,-7.82407,1045.49,1282.13,251.011,769.034,1760.3,-8.96184,9.255,310.805,8983350.0,11609.3,426.1,586.528,526.984,3040.13,890.182,1337.06,0.916093,0.912962,0.996869,0.58923,0.576706,54.0,581.0,1597.0,1463.0,1458.0,1592.0,941.0,921.0,0.266758,0.733242,2799.79
50,E13,Mat67-PD-SCP-01,Mut - DMSO,0.187383,0.0804937,38.2697,32.9902,7.64392,6.74416,970.9,719.88,561.045,5069560.0,739.73,4.49713,9.57019,451.658,557.523,471531.0,448806.0,14858.0,6311.6,7042.24,11283.7,5568.29,0.894686,15511700.0,8126740.0,6538820.0,9083350.0,4421220.0,782.339,599.72,4356290.0,0.00436052,0.00392087,0.00426725,0.00392202,417.389,668.999,427.18,668.804,187660000.0,190545000.0,187951000.0,190508000.0,1.53704,1.64468,1.54861,1.64419,5.84893e-05,5.09788e-05,5.98457e-05,5.1124e-05,3.25346,3.31802,3.26558,3.31842,-0.335658,-0.30472,-0.3283,-0.304592,0.850027,0.829002,0.844942,0.828915,0.207446,0.17859,0.199407,0.178801,97.1246,98.2897,97.3731,98.2901,2.23092,2.23145,2.2285,2.23138,5175.72,5246.32,5185.33,5246.37,20053.3,20192.0,20073.9,20192.3,541.813,563.605,2904.93,2487.07,2576610.0,3352290.0,684.853,1052.35,-11.5297,2298.81,10.8357,-9.70551,1068.12,1319.91,251.033,786.574,1814.26,-10.8187,9.35764,327.355,7561840.0,10535.0,453.265,623.322,480.708,3185.81,830.64,1375.96,0.903896,0.89697,0.999134,0.69697,0.687446,18.0,545.0,1155.0,1044.0,1036.0,1154.0,805.0,794.0,0.320588,0.679412,2884.06
51,E14,Mat67-PD-SCP-01,WT - DMSO,0.183464,0.161173,51.6496,51.2176,20.8587,20.6617,1145.43,739.353,466.315,3523620.0,734.874,3.326,6.05081,401.478,396.767,401478.0,320191.0,14029.9,4501.08,4765.82,9253.04,4111.09,0.664401,14029900.0,4961210.0,4469580.0,7467200.0,3231320.0,782.111,492.882,3215330.0,0.00394135,0.00355155,0.00382117,0.0035576,431.594,690.851,447.188,692.943,158828000.0,161841000.0,157623000.0,161827000.0,1.54664,1.65102,1.55984,1.6526,5.77205e-05,5.05785e-05,5.87719e-05,5.04183e-05,3.25566,3.31768,3.26835,3.31861,-0.34011,-0.311038,-0.332303,-0.310631,0.855149,0.83638,0.850137,0.836116,0.205203,0.177944,0.196884,0.177555,96.872,98.1016,97.0774,98.1015,2.23583,2.23717,2.23348,2.23736,5171.18,5244.7,5178.54,5244.69,20030.9,20178.1,20040.9,20176.9,802.092,815.986,1045.22,1002.56,995541.0,1088080.0,652.559,850.338,-6.47793,2027.5,11.4885,-5.94755,957.994,1176.34,251.0,715.909,1605.49,-6.77365,8.93641,284.988,4999680.0,6502.4,510.819,854.1,385.996,2717.89,251.137,789.948,0.957854,0.951149,0.997126,0.772989,0.752874,10.0,422.0,1044.0,1000.0,993.0,1041.0,807.0,786.0,0.287858,0.712142,2915.38
69,F12,Mat67-PD-SCP-01,Mut - PRO,0.27161,0.160592,73.6613,63.3694,29.7293,25.7153,950.965,671.085,633.408,3884940.0,696.93,5.49193,8.13152,474.499,515.524,617323.0,474282.0,14736.2,5140.37,5789.04,11487.6,4758.52,0.772342,19171800.0,8162550.0,6605370.0,10568600.0,4296940.0,723.131,675.218,3441030.0,0.00367531,0.00330266,0.00357967,0.00329113,441.045,701.601,448.721,701.231,141415000.0,142797000.0,140711000.0,142766000.0,1.542,1.64839,1.5541,1.64909,5.89639e-05,5.14309e-05,6.01071e-05,5.13387e-05,3.2354,3.29889,3.24708,3.30012,-0.333292,-0.303057,-0.325812,-0.30242,0.847336,0.826393,0.842223,0.825997,0.209242,0.181102,0.201034,0.180776,93.0362,94.1657,93.2321,94.1664,2.21702,2.21751,2.21433,2.21763,4821.38,4886.37,4827.06,4886.45,18647.9,18760.7,18655.0,18761.3,451.441,476.12,2033.67,1605.58,2063180.0,2867470.0,670.642,974.295,-11.5772,2018.03,10.5266,-8.9077,947.234,1167.42,251.0,713.572,1594.41,-10.0244,8.08971,274.154,5911390.0,8323.65,445.983,503.393,542.62,3280.55,599.433,1481.75,0.917489,0.906206,0.994358,0.648801,0.636812,31.0,514.0,1418.0,1301.0,1285.0,1410.0,920.0,903.0,0.266046,0.733954,2754.74
