Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_pos,mahalanobis_from_neg,Cell_Neurites_LengthPerNuclei_MAP2,Nuclei_Number_Living,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA
PD-SC1-01,C03,Mut;Quetiapine Fumarate,5e-06,S1763-01,Quetiapine Fumarate,Dopamine Receptor,21.830963165865512,2.374930779942177,206.287,4444.0,772.547,0.613186,0.90144,0.855986,0.916967,182.121,1427.63,273.98,740.954,12707.1,12240400.0,356.083,-5.91501,990.883,795.511,1791040.0,0.788468,1812.92,3931.93,7348.53,222.558,4.41954,2.67362,2044540.0,814.549,36.1597,46.0773,47.5801,0.328247,1167.31,0.00399755,1485.97,0.75707,-6.37538,0.30438,751.783,912.258,2241.18,662.196
PD-SC1-01,J15,Mut;Disulfiram ,5e-06,S1680-01,Disulfiram ,Dehydrogenase,10.463070628980029,2.077086968589001,329.895,2499.0,763.476,0.645058,0.872749,0.856743,0.914366,121.515,1765.62,257.69,1074.08,8768.95,7681250.0,351.028,-4.87347,868.006,753.429,1519060.0,0.61538,1580.6,4075.1,8069.26,231.933,3.68488,3.52341,1821360.0,1052.83,14.536,41.442,41.8037,0.241612,1001.63,0.00358766,1262.96,0.699021,-4.08636,0.138382,434.423,910.901,1999.52,882.439
PD-SC1-01,J16,Mut;Tamoxifen,5e-06,S1238-01,Tamoxifen,Estrogen/progestogen Receptor#Autophagy,9.475535481669532,2.7049517717154115,387.463,2073.0,785.412,0.748191,0.884226,0.868307,0.920405,91.6667,1843.96,282.309,850.249,5974.43,5626880.0,351.173,-10.1592,1033.12,768.515,1277780.0,0.447579,1365.88,4276.87,8235.98,215.865,2.93449,3.83019,1534980.0,1203.34,34.5459,49.0098,50.8907,0.322094,1033.56,0.00458676,1235.87,0.734325,-9.25159,0.269383,280.7,908.43,1689.71,604.822
PD-SC1-01,J17,Mut;Mosapride Citrate,5e-06,S1385-01,Mosapride Citrate,5-HT Receptor,13.108549169394324,1.1595735963028397,295.102,2595.0,846.615,0.63237,0.890559,0.879383,0.94605,122.19,1568.66,269.645,792.712,11523.5,10294700.0,351.459,-3.95446,873.715,777.124,1543970.0,0.632436,1701.31,4408.09,8281.77,247.433,4.26527,2.99511,1829520.0,1049.92,35.2602,47.7168,46.2589,0.333456,1008.74,0.0037642,1274.13,0.745904,-4.28725,0.304883,612.606,857.802,2132.8,616.684
PD-SC1-01,J18,Mut;Temozolomide,5e-06,S1237-01,Temozolomide,DNA/RNA Synthesis#Autophagy,10.173646172630542,2.19792363583247,294.073,2657.0,865.252,0.654498,0.887091,0.875423,0.953707,116.5,1749.27,271.604,946.794,8749.24,8314900.0,354.071,-2.80289,816.617,725.723,1609940.0,0.609406,1667.19,4293.0,8577.04,236.684,3.88551,3.20837,1857670.0,1038.21,25.3932,40.8354,47.8478,0.220227,1079.46,0.0046197,1364.06,0.735807,-3.35215,0.212145,487.136,908.105,2045.66,833.82
PD-SC1-01,J19,Mut;Potassium Iodide,5e-06,S1897-01,Potassium Iodide,Others,14.954814472778187,0.7409034670515936,305.611,2394.0,902.396,0.659148,0.891395,0.877611,0.944027,108.135,1751.25,263.17,708.23,8883.85,7599250.0,351.449,-5.78794,891.983,708.421,1644950.0,0.623765,1866.32,4490.92,9065.52,248.355,4.36327,3.36018,1871280.0,1028.61,40.9225,45.5388,48.1744,0.359188,978.773,0.00339461,1242.32,0.776013,-6.01355,0.33892,646.511,831.214,2251.27,556.88
PD-SC1-01,J20,Mut;Sulfasalazine,5e-06,S1576-01,Sulfasalazine,Immunology & Inflammation related,12.074648055696738,1.6705323482774612,376.931,2084.0,863.758,0.699616,0.863724,0.849328,0.928983,113.564,1895.73,278.526,824.113,8252.01,8093910.0,353.442,-5.56227,888.928,765.4,1542490.0,0.549393,1593.45,4393.23,9064.97,243.939,3.62274,3.80992,1876070.0,993.714,23.0497,38.4246,42.8231,0.282425,976.371,0.00302768,1223.85,0.723611,-5.01798,0.215955,481.7,903.825,2075.7,735.462
PD-SC1-01,J21,Mut;Rifampin,5e-06,S1764-01,Rifampin,DNA/RNA Synthesis,10.732321071154319,1.97511859976747,301.815,2723.0,763.538,0.69776,0.880279,0.867426,0.933529,115.234,1590.73,276.694,932.911,7575.76,10312500.0,351.109,-0.97821,1104.94,900.438,1651670.0,0.590952,1411.89,3689.91,7476.38,200.284,2.94001,3.0712,1920070.0,1082.7,17.4827,39.1304,44.9038,0.179151,1415.05,0.00499193,1611.77,0.745211,-3.43839,0.156275,432.839,1046.43,1834.88,1352.02
PD-SC1-01,J22,Mut;Ivermectin,5e-06,S1351-01,Ivermectin,Chloride Channel#Anti-infection,13.773512316813324,1.464757492538132,343.475,2680.0,835.871,0.648881,0.888433,0.868657,0.935448,167.421,2107.46,260.724,731.126,9171.08,8355980.0,357.613,-5.22895,959.221,746.111,1531050.0,0.632011,1588.3,4162.5,9097.0,226.533,3.74892,3.87435,1838310.0,912.14,22.812,47.5016,40.7045,0.29459,1072.59,0.00366141,1299.1,0.741355,-5.59593,0.222527,564.346,894.511,2055.1,654.153
PD-SC1-01,K03,Mut;Miconazole Nitrate,5e-06,S1956-01,Miconazole Nitrate,Anti-infection,11.918076647978724,2.39779059260016,246.394,3813.0,743.077,0.641752,0.891424,0.855757,0.90952,101.702,1462.12,287.762,814.044,8196.37,7584780.0,351.145,-2.43053,861.504,768.194,1380170.0,0.595039,1437.82,3689.34,6924.91,211.378,3.54654,2.89591,1512700.0,923.514,25.0546,46.7476,40.9123,0.345446,1077.43,0.00444365,1320.8,0.799204,-3.94057,0.242151,373.231,904.642,1672.15,600.719
