SC_cat,BatchID,CpdID,SC_Target_name,Concentration (M),Destination Well,Destination Plate Barcode
S1458,S1458-01,VX-745,p38 MAPK,5.00E-06,D4,PD-SC1-01
S1336,S1336-01,Fluvoxamine maleate,5-HT Receptor,5.00E-06,E17,PD-SC1-01
S1333,S1333-01,Fluoxetine HCl,5-HT Receptor,5.00E-06,D22,PD-SC1-01
S1331,S1331-01,Fluconazole,P450 (e.g. CYP17),5.00E-06,E6,PD-SC1-01
S1330,S1330-01,Felbamate,NMDAR,5.00E-06,I10,PD-SC1-01
S1329,S1329-01,Etomidate,GABA Receptor,5.00E-06,H8,PD-SC1-01
S1328,S1328-01,Etodolac ,COX,5.00E-06,C8,PD-SC1-01
S1326,S1326-01,Edaravone,Others,5.00E-06,J8,PD-SC1-01
S1305,S1305-01,Mercaptopurine,DNA/RNA Synthesis,5.00E-06,C18,PD-SC1-01
S1283,S1283-01,Asenapine maleate,5-HT Receptor#Adrenergic Receptor,5.00E-06,L3,PD-SC1-01
S1261,S1261-01,Celecoxib,COX,5.00E-06,F16,PD-SC1-01
S1259,S1259-01,Ramelteon,MT Receptor,5.00E-06,N3,PD-SC1-01
S1251,S1251-01,Dienogest,Estrogen/progestogen Receptor,5.00E-06,L19,PD-SC1-01
S1245,S1245-01,Latrepirdine 2HCl,5-HT Receptor#GluR#Histamine Receptor,5.00E-06,L10,PD-SC1-01
S1243,S1243-01,Agomelatine,5-HT Receptor,5.00E-06,L5,PD-SC1-01
S1241,S1241-01,Vincristine sulfate,Autophagy#Microtubule Associated,5.00E-06,C10,PD-SC1-01
S1238,S1238-01,Tamoxifen,Estrogen/progestogen Receptor#Autophagy,5.00E-06,J16,PD-SC1-01
S1237,S1237-01,Temozolomide,DNA/RNA Synthesis#Autophagy,5.00E-06,J18,PD-SC1-01
S1231,S1231-01,Topotecan HCl,Topoisomerase,5.00E-06,G10,PD-SC1-01
S1230,S1230-01,Flavopiridol,CDK,5.00E-06,F21,PD-SC1-01
S1223,S1223-01,Epirubicin HCl,Topoisomerase,5.00E-06,E16,PD-SC1-01
S1212,S1212-01,Bendamustine HCl,DNA/RNA Synthesis,5.00E-06,K16,PD-SC1-01
S1340,S1340-01,Gatifloxacin,Topoisomerase,5.00E-06,F18,PD-SC1-01
S1351,S1351-01,Ivermectin,Chloride Channel#Anti-infection,5.00E-06,J22,PD-SC1-01
S1356,S1356-01,Levetiracetam,Calcium Channel,5.00E-06,H4,PD-SC1-01
S1357,S1357-01,Lidocaine,Histamine Receptor,5.00E-06,K8,PD-SC1-01
S1457,S1457-01,Atazanavir Sulfate,HIV Protease,5.00E-06,N4,PD-SC1-01
S1445,S1445-01,Zonisamide,Sodium Channel,5.00E-06,M18,PD-SC1-01
S1444,S1444-01,Ziprasidone HCl,5-HT Receptor#Dopamine Receptor,5.00E-06,L11,PD-SC1-01
S1442,S1442-01,Voriconazole,P450 (e.g. CYP17),5.00E-06,H17,PD-SC1-01
S1441,S1441-01,Venlafaxine HCl,5-HT Receptor,5.00E-06,N22,PD-SC1-01
S1439,S1439-01,Tranilast,Immunology & Inflammation related,5.00E-06,F15,PD-SC1-01
S1438,S1438-01,Topiramate,Carbonic Anhydrase,5.00E-06,C22,PD-SC1-01
S1437,S1437-01,Tizanidine HCl,Adrenergic Receptor,5.00E-06,G9,PD-SC1-01
S1436,S1436-01,Tianeptine sodium,5-HT Receptor,5.00E-06,G18,PD-SC1-01
S1432,S1432-01,Sumatriptan Succinate,5-HT Receptor,5.00E-06,D8,PD-SC1-01
S1210,S1210-01,Methotrexate,DHFR,5.00E-06,G6,PD-SC1-01
S1430,S1430-01,Rolipram,PDE,5.00E-06,H18,PD-SC1-01
S1401,S1401-01,Tenofovir ,Reverse Transcriptase,5.00E-06,C7,PD-SC1-01
S1398,S1398-01,Stavudine,Reverse Transcriptase,5.00E-06,L15,PD-SC1-01
S1397,S1397-01,Rocuronium Bromide,AChR,5.00E-06,J9,PD-SC1-01
S1396,S1396-01,Resveratrol,Autophagy,5.00E-06,I20,PD-SC1-01
S1391,S1391-01,Oxcarbazepine,Sodium Channel,5.00E-06,F7,PD-SC1-01
S1390,S1390-01,Ondansetron HCl,5-HT Receptor,5.00E-06,D15,PD-SC1-01
S1385,S1385-01,Mosapride Citrate,5-HT Receptor,5.00E-06,J17,PD-SC1-01
S1380,S1380-01,Lopinavir,HIV Protease,5.00E-06,M11,PD-SC1-01
S1364,S1364-01,Patupilone,Microtubule Associated,5.00E-06,I11,PD-SC1-01
S1358,S1358-01,Loratadine,Histamine Receptor,5.00E-06,C11,PD-SC1-01
S1405,S1405-01,Vecuronium Bromide,AChR,5.00E-06,H7,PD-SC1-01
S1204,S1204-01,Melatonin,MT Receptor,5.00E-06,L22,PD-SC1-01
S1322,S1322-01,Dexamethasone,Autophagy#IL Receptor,5.00E-06,G11,PD-SC1-01
S1193,S1193-01,Thalidomide,E3 Ligase #TNF-alpha,5.00E-06,M16,PD-SC1-01
S1018,S1018-01,Dovitinib,c-Kit#FGFR#FLT3#PDGFR#VEGFR,5.00E-06,N16,PD-SC1-01
S1067,S1067-01,SB431542,TGF-beta/Smad,5.00E-06,K11,PD-SC1-01
S1169,S1169-01,TGX-221,PI3K,5.00E-06,K4,PD-SC1-01
S1199,S1199-01,Cladribine,DNA/RNA Synthesis,5.00E-06,N19,PD-SC1-01
S1004,S1004-01,Veliparib ,PARP,5.00E-06,D10,PD-SC1-01
S1008,S1008-01,Selumetinib,MEK,5.00E-06,D19,PD-SC1-01
S1017,S1017-01,Cediranib,VEGFR,5.00E-06,I22,PD-SC1-01
S1025,S1025-01,Gefitinib,EGFR,5.00E-06,E9,PD-SC1-01
S1026,S1026-01,Imatinib Mesylate,Bcr-Abl#c-Kit#PDGFR,5.00E-06,F8,PD-SC1-01
S1028,S1028-01,Lapatinib Ditosylate,EGFR#HER2,5.00E-06,I9,PD-SC1-01
S1029,S1029-01,Lenalidomide,TNF-alpha,5.00E-06,J6,PD-SC1-01
S1035,S1035-01,Pazopanib HCl,c-Kit#PDGFR#VEGFR,5.00E-06,G21,PD-SC1-01
S1040,S1040-01,Sorafenib Tosylate,PDGFR#Raf#VEGFR,5.00E-06,D5,PD-SC1-01
S1041,S1041-01,STF-62247,Autophagy,5.00E-06,L4,PD-SC1-01
S1047,S1047-01,Vorinostat,Autophagy#HDAC,5.00E-06,I8,PD-SC1-01
S1454,S1454-01,PHA-680632,Aurora Kinase,5.00E-06,F6,PD-SC1-01
S1053,S1053-01,Entinostat,HDAC,5.00E-06,L17,PD-SC1-01
S1226,S1226-01,KU-0063794,mTOR,5.00E-06,F3,PD-SC1-01
S1120,S1120-01,Everolimus,mTOR,5.00E-06,M21,PD-SC1-01
S1145,S1145-01,SNS-032,CDK,5.00E-06,N6,PD-SC1-01
S1189,S1189-01,Aprepitant,Substance P,5.00E-06,H10,PD-SC1-01
S1106,S1106-01,OSU-03012,PDK,5.00E-06,H22,PD-SC1-01
S1144,S1144-01,Ivacaftor,CFTR,5.00E-06,J10,PD-SC1-01
S1185,S1185-01,Ritonavir,HIV Protease#P450 (e.g. CYP17),5.00E-06,K15,PD-SC1-01
S1087,S1087-01,Iniparib,PARP,5.00E-06,K5,PD-SC1-01
S1082,S1082-01,Vismodegib,Hedgehog/Smoothened,5.00E-06,I16,PD-SC1-01
S1057,S1057-01,Obatoclax Mesylate,Autophagy#Bcl-2,5.00E-06,C20,PD-SC1-01
S1055,S1055-01,Enzastaurin,PKC,5.00E-06,D16,PD-SC1-01
S1156,S1156-01,Capecitabine ,DNA/RNA Synthesis,5.00E-06,K20,PD-SC1-01
S1101,S1101-01,Vatalanib 2HCl,VEGFR,5.00E-06,M20,PD-SC1-01
S1771,S1771-01,Chlorprothixene,Dopamine Receptor,5.00E-06,J7,PD-SC1-01
