,Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_pos,mahalanobis_from_neg,Cell_Neurites_LengthPerNuclei_MAP2,Nuclei_Number_Living,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Nuclei_Number_Living_median,Cell_Neurites_LengthPerNuclei_MAP2_median,Nuclei_Number_Living_std,Cell_Neurites_LengthPerNuclei_MAP2_std,non_toxic,exp_condition
33,PD-SC1-01,I08,Mut;Vorinostat,5e-06,S1047-01,Vorinostat,Autophagy#HDAC,29.975940800186795,5.957564892862837,4.522030573888719,2592.0,0.4409613515803073,3.30336720476592,-1.8772338682784224,-3.132002134673962,-5.24077803841644,9.782120083867149,6.706328599817234,-0.41586794462194,-4.87255250760624,21.217337289035623,11.276786659867938,17.354549854792147,-5.06257315639556,11.058738576542254,11.278526854611204,21.451260563948,5.378180521710856,29.41938473938743,11.239445359208668,12.584267612528732,1.6275687800687468,1.415072047875545,5.296057357117912,18.933265500232256,0.2224231968811799,3.201027892347272,0.1598435471791166,-0.5022605554644286,4.075544463840821,6.901059600795052,-0.8441942189049358,6.052927741844109,-3.4925487749156137,-6.115121027023559,3.3097349707312747,43.38474688969037,4.164619376316195,24.873437609004014,-0.4630611911156529,2398.0,5.532633637833824,337.23043106511557,2.1040521743954064,True,Mut;Compound
58,PD-SC1-01,L04,Mut;STF-62247,5e-06,S1041-01,STF-62247,Autophagy,27.846317227741768,4.913537379795122,8.480286507277416,2360.0,-1.0414386169078174,-1.0252430215628023,-1.5608440483709622,-7.988784601364963,-14.850906814205263,10.47468566888082,5.105655560551775,11.361646128099792,-5.670744798311904,5.716469882021563,3.0991530601951625,4.581558567279847,-10.809775294284169,9.992373576774174,5.502899485535131,10.94119318309052,6.179563497778572,11.428951728461398,8.477348193019978,8.012773945958227,2.819323990774337,1.310059654246271,8.277714259982911,8.456135946382357,-1.457340099521482,-2.6807263834170096,-0.8916771977880544,-2.2648527965930283,1.5577957900445736,5.233809710441104,3.153043988156238,5.167999917378784,0.326075848617209,-13.90852413461806,-3.7667320791846888,28.986959715929963,2.7817188215174493,11.077937876427226,-0.2947709346206593,2398.0,5.532633637833824,337.23043106511557,2.1040521743954064,True,Mut;Compound
100,PD-SC1-01,L17,Mut;Entinostat,5e-06,S1053-01,Entinostat,HDAC,26.37266091435651,4.866260074134332,10.464273460378516,2036.0,2.2679434461528336,3.4045254730485093,2.4509751491038383,2.14333039792441,-0.7039178315291572,5.03968823567852,13.372201592666192,2.920447284345048,-4.939824811070762,13.308044467019135,8.76410381930408,3.3543078412392875,-6.284906955459266,13.057739891896974,14.268965271295704,18.469891348647234,-1.4900363762519333,21.5786584273688,17.727469711515088,16.311538949061564,6.20508635832141,2.667038651640756,16.589847842847828,13.642978168063882,-0.0150566715831245,1.4685943208428212,-0.5018109920883932,-1.001157385277848,3.5512207006423395,7.918038408779148,-0.3445185255870364,7.404509052924796,0.4514530527619116,-8.375304927113948,1.6728770207930783,28.57352606119409,5.6502286384001605,14.954943550449968,-0.4635080950120522,2398.0,5.532633637833824,337.23043106511557,2.1040521743954064,True,Mut;Compound
111,PD-SC1-01,M08,Mut;Bazedoxifene Acetate,5e-06,S2167-01,Bazedoxifene Acetate,Estrogen/progestogen Receptor,25.558763471689385,4.559913062838961,2.3748213427160283,2497.0,2.516176512383122,2.9161619559153134,2.230441310484826,1.2184738474572094,-0.3940543944317322,13.462690156794114,3.589667251707981,-1.3503575232009748,-7.133833055255669,40.40782051578048,21.852426751203005,56.62124878993311,-4.782166081897561,12.649624891985734,9.962916562006086,21.44008360466314,12.613823807850435,24.67219908651263,7.689319739464347,10.02082650380705,3.266561738392441,4.580887607849932,2.285695536328151,22.36006879161229,-1.6766062523610372,0.6705378710550504,5.412112765144685,2.273345823349875,1.018706675931732,7.479990761736794,-1.680841427170677,5.644293529578398,0.3924205427023143,-7.16466729668803,-1.3587640566693868,63.50740398609408,5.08498542606869,28.252584122037995,0.168826541170673,2398.0,5.532633637833824,337.23043106511557,2.1040521743954064,True,Mut;Compound
284,PD-SC1-02,I21,Mut;Flavopiridol,5e-06,S1230-01,Flavopiridol,CDK,18.990199556602544,5.21778214809305,1.8885293381485315,1808.0,-1.4341573434783343,-4.642771138310532,-5.631824897637513,-5.999731038192579,-5.972181129804667,6.3921244546180604,-12.966547673883005,0.2801284749547034,-3.129326389166602,4.669030304111617,6.092410550265929,8.048074408264693,-1.665888692919841,3.886649131970288,1.4208491266702257,11.455746722698484,9.525978717239363,7.69004923818404,-0.1493628916231153,-1.9191578115040475,-1.7492094696786211,-2.175620238697104,-3.1391010119823632,13.52689273392422,-2.4936220879191127,-2.086014588174075,-0.9575288279705096,-2.862941176698441,-0.2198467069152256,8.219332227745463,4.4451772653975175,9.834865933310416,-3.655038971370165,-2.0117011221224086,-1.6729547104849598,18.829601158567858,4.366820904235756,12.136307968950035,2.851166172865782,2406.0,9.384644178853652,281.252587866882,4.154331974330253,True,Mut;Compound
290,PD-SC1-02,J07,Mut;Simvastatin ,5e-06,S1792-01,Simvastatin ,HMG-CoA Reductase,34.29280618980956,8.061199635068153,8.112780240998324,2533.0,1.49081581686874,1.9133855641777373,-0.1141674540703663,-0.5749058633674053,-2.123711857182257,13.246479846008391,5.921050207277755,0.3381471788583656,-18.055602810480234,13.202834955440377,17.940201281392262,6.43213024715575,-7.538379399809092,12.501806806788638,18.40218473158993,32.24780866109358,9.919303754930343,17.34718129429901,3.575724685764123,9.250760454739831,1.5120685386424693,2.241957098041248,8.176413981498722,43.76429681458569,-1.5615670546614815,-1.1222027390933584,-2.6087640891544197,-2.460029198414809,0.7778048352498376,11.914380818808176,-0.6908418326694357,12.375236335510486,-1.7656452224521244,-9.416230273809024,-0.3369074750520443,53.841803924620805,13.667605245518804,35.389525074554,1.583654910658445,2406.0,9.384644178853652,281.252587866882,4.154331974330253,True,Mut;Compound
338,PD-SC1-02,L15,Mut;SNS-032,5e-06,S1145-01,SNS-032,CDK,17.764638313590726,4.588738663369593,2.343220357921836,1648.0,1.941455964646308,-1.0308335365823311,-4.711779153875576,-4.280325443786984,-2.3565111283838576,10.78506694476685,-2.9184707508060823,-0.0181585256492384,-12.111855482989764,11.838553128094418,16.339763081008417,11.129642343402637,1.096222388708506,2.825130563639693,3.6921977598058247,18.943045053602848,4.8237888639536015,11.273792889717692,3.9913154618588096,4.309240836217814,1.6646267620416284,-0.6209522173681958,-1.6629415781958108,25.908006662304448,2.752640260582244,-1.447349933546398,-1.649863310571681,-2.2436336183839223,-1.5912655069584034,7.3154797809054015,2.831266489532887,7.494435372980406,-1.3523812517002305,1.250122898099183,-0.964336412818401,35.32668111170256,7.509553179528197,23.149128292029587,2.985264617533012,2406.0,9.384644178853652,281.252587866882,4.154331974330253,True,Mut;Compound
377,PD-SC1-02,E11,Mut;Entinostat,5e-06,S1053-01,Entinostat,HDAC,34.83552016144787,7.413740995795293,14.439380564593986,2224.0,0.2334082762495901,3.2550561713861903,1.0900701972091469,0.5862022592791822,-0.4515415924913752,14.927780060065013,31.24841087056657,-0.1552332497575087,-15.628951084231344,10.866533359501146,13.779486778091302,11.893111677782176,-4.078438904709604,11.16251354391913,16.330504146651865,32.19117637320995,4.141517727028136,22.358312650446297,12.74624939175056,25.70021542855759,10.111744656687822,9.34304012565734,25.218321226795798,43.2307696597466,-4.234931338875623,-1.1794377816058883,-2.632087249562321,-3.672631850907578,2.3998668328995887,12.572600328927368,0.1106593605351708,11.601237538673084,-2.8630484019883453,-3.3034826671301496,0.2501135999380041,61.37204677078395,8.623300503794662,40.56464180794308,0.5970378636686383,2406.0,9.384644178853652,281.252587866882,4.154331974330253,True,Mut;Compound
430,PD-SC1-02,H04,Mut;Bazedoxifene HCl,5e-06,S2128-01,Bazedoxifene HCl,Estrogen/progestogen Receptor,28.679491007265717,5.696748169863582,10.402324614724495,1682.0,-0.9760448463116014,5.199097823327677,-1.7828441968009048,-1.3659897794513227,-3.2936748322175613,13.545428578661268,10.271649009672966,0.3478907779872253,-12.30504216027982,8.297400376459672,12.030362383745652,53.26879822152468,-8.116272028766378,16.89091057149245,14.795867488354922,22.562776946049205,2.693017919696989,11.629063886744166,6.4553571240491845,14.364284042956612,1.718274504421588,0.283320478085582,4.750139690817656,38.63505851823212,1.070008648679674,-2.412694014393745,-0.9303493739498548,-0.6006535750240055,-0.3665246660974372,15.184689123457725,0.4281328803373284,11.80992179443108,-2.227161767251686,-9.7640131191441,-2.718660381222773,50.138274851322215,12.84354472529134,31.15411767317613,1.4007155289954774,2406.0,9.384644178853652,281.252587866882,4.154331974330253,True,Mut;Compound
466,PD-SC1-02,G08,Mut;Vorinostat,5e-06,S1047-01,Vorinostat,Autophagy#HDAC,32.98727842010537,6.834002062081257,12.989047359387852,2354.0,1.6938830700491212,3.0574478728540644,0.9445802969289276,0.5048413125336172,-1.320240871214973,17.84081176073576,21.69016582220176,-0.4989165644845456,-16.656860543453853,11.487956769583484,14.996464533711464,13.493232640251051,-4.756419970175071,12.18894940681654,20.153100756570065,31.391404642068768,6.899672441611526,20.167367079611974,7.189108701284749,15.513107254375138,2.286500971511308,1.8194599283562989,18.435773266281736,42.63538754387009,-1.3607529960565694,-0.8995247336546869,-1.4740682334749209,-3.49991846290372,1.6445326029180116,12.646482110675446,0.9688773290558552,13.127964936404268,-3.559157241544184,-5.014836498857922,0.6227515892669065,51.859917666075056,10.585962939739224,37.62351724546204,0.6158250115282431,2406.0,9.384644178853652,281.252587866882,4.154331974330253,True,Mut;Compound
