,tags,Concentration,mahalanobis_from_pos,mahalanobis_from_neg,Cell_Neurites_LengthPerNuclei_MAP2,Nuclei_Number_Living,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Nuclei_Number_Living_median,Cell_Neurites_LengthPerNuclei_MAP2_median,Nuclei_Number_Living_std,Cell_Neurites_LengthPerNuclei_MAP2_std,non_toxic
0,Mut;Alectinib hydrochloride,2.5e-06,7.493425726,5.5159845305,0.40146274000000004,2696.5,-5.0161138014999995,0.16261341400000007,-13.32977739,-11.4083800765,-10.866319505,-2.7668499884999997,-4.9252853015,2.4910588645000002,2.621916115,-1.7755026505,-0.9167204445,0.007896032999999997,0.925740173,1.670950761,4.7115125815,-0.18857057,-1.3444273905,-1.8276351014999999,-0.609666989,-1.9690708249999997,-3.079301354,-5.223871334,-3.156146408,1.2268595265,4.296927235,-1.659961924,-1.531252998,-1.814285086,0.372675837,2.6206376045,3.5698562195,2.254623259,-6.337090006,-0.061396483499999994,-1.3198845505,-0.0773893615,2.3173457419999997,0.4604051105,0.2547671565,3005.5,2.3593336097499997,252.58726600294852,1.5223793529714866,1.0
1,Mut;Bazedoxifene Acetate,5e-06,24.09204872,4.3281563875,7.5136424865,2254.0,0.648983005,2.7625894965,-0.7703595080000001,-2.082128288,-4.5089794329999995,14.878698714999999,6.3246224545,-1.5259472935,-9.0440284425,26.26809161,16.921916145,281.445444945,-4.0400450995,9.0089704065,7.4068252625,18.837683295,9.895511349,18.79074727,6.573332516000001,10.246320215,2.414691239,2.324732339,4.3884667345,24.06232854,0.27666657299999997,0.6129729525000001,2.475078033,0.912543694,1.6066599145000002,5.5699016495,-1.355438489,4.1249353499999994,-3.209232706,-5.198009545,-0.13958168849999997,57.967929995,5.634936903,28.330674235,0.327249305,2429.75,6.26212828075,285.1071436571356,2.4452701832291384,1.0
2,Mut;Bazedoxifene HCl,5e-06,27.53504750666667,5.189668473333334,10.369346389333334,1887.0,-0.464449409,4.01594274,-1.6737403286666666,-1.6505771906666666,-3.8562308313333333,12.458646005666665,10.112227906000001,-0.2919086226666667,-3.9537140503333332,13.407920098666665,16.80972683,267.2510931066667,-7.220335191666666,15.308318343333333,14.695449351333332,23.888881386666668,4.01213822,14.106760983333333,8.007036716,15.002737613333332,1.8000574899999997,0.570252105,5.998520140666667,31.19247245,0.32853288766666666,-1.950457794,-1.0133407216666666,-2.110728095666667,-1.1537443133333334,12.211471111666667,-0.43764089666666667,9.639344390666666,-3.7747082046666667,-7.461307025333333,-1.5981912996666665,51.08491049333333,11.861319576999998,28.020311863333333,1.9159154779999998,2387.1666666666665,7.636331404500001,244.6933554082044,3.3231237902279047,1.0
3,Mut;Bimiralisib,5e-06,12.315216095,4.32969342,5.2278783135,2940.0,1.988619111,3.0412097365,-0.591484294,-2.3365181680000005,-4.231669373,2.6506503265,1.577965245,1.8402634585,2.321116434,7.139634449999999,8.182277893,0.22834534750000002,-4.326517721,12.41790229,13.05793624,9.1946222435,5.8562596075,5.256548272,-0.157451157,1.7808672460000001,-1.1594784665,-4.3139499175000005,4.1194058325,9.381231236000001,5.684070761999999,-0.14630901400000001,-4.1307308334999995,-2.5952883945,2.168263735,8.576245013,4.191375186,6.494626298,-6.8036279335,-5.756410707,1.037042206,7.6382078175,8.2973961395,7.490148148499999,0.9737593055,3136.75,1.87229830025,244.36325187504477,1.3278336792054566,1.0
4,Mut;Chloroquine Phosphate,5e-06,27.430642300000002,4.89489829,9.308044708,2842.5,1.1018159715000002,1.3109221105,-0.0869693285,-2.4218282825,-4.1667093635,21.283969005,5.1656079275,2.37535909,5.3397251955,16.617068595,17.30811112,10.916716963999999,-11.184252090000001,18.18473146,17.783617105,17.87389768,9.232877886,14.968241205,5.820310578000001,5.187442729500001,4.067222761,2.4328199525,6.472741682500001,23.188157985,2.9791045900000004,-2.368601281,-2.27144102,-2.967610233,-0.474311106,9.9686376995,0.0698205685,10.786466773499999,-3.1221898044999996,-13.87102846,-2.0895588480000002,43.339094535,9.347078342,22.118828945,1.1318611779999999,3005.5,2.3593336097499997,252.58726600294852,1.5223793529714866,1.0
5,Mut;Duloxetine,5e-06,27.172278415,4.846085901,0.052778689499999976,2716.5,0.398551343,-1.3865856955,-0.16935167700000003,-0.9130035219999999,-2.3045295809999997,32.28269348,1.4254607555,-1.5441733325,-2.6193596965,8.043616376500001,8.7272191275,18.565850375,-6.769816367,10.2256373815,6.009063055,17.74596274,11.280754657,15.208425975,6.136648206,3.4214349530000003,4.26300007,7.491851849,1.6241286015,21.02434763,-5.4073140965,-0.310917021,0.3893433885,-0.002405277500000025,-2.0231514015000003,5.7376175095,-0.22357545350000002,6.017805938,-1.867768694,-7.9737375355,-0.3519917315,22.46031672,4.028709131499999,20.66885223,2.3378700985,2640.25,-0.146433528,266.5323558797014,1.027324424503572,1.0
6,Mut;Ensartinib dihydrochloride,5e-06,21.138239725,4.7923867195,4.915343765,2922.0,-0.38089889600000004,1.0932749735,-2.282385337,-3.5964928355,-4.553619622,5.674107769000001,0.8603996865,1.8145213779999998,14.4881716565,10.802360135,17.570508484999998,145.4751162755,-5.158582574,20.307623825,16.41371654,20.923710765,6.554783789,7.874755363,-1.201392524,0.7205396390000001,-0.951417199,-2.9526457605000003,1.589364351,19.183607265,4.7822784415,-1.131681179,-4.0650360895,-2.271830038,-0.18355590900000007,12.153579335,6.572828749499999,11.718070303000001,-5.4840808039999995,-6.9338063405,0.032523533500000035,17.35764166,19.55808391,11.366227524,4.2070261285,3363.75,1.35088906325,231.7990203732712,1.287072940009438,1.0
7,Mut;Entinostat,5e-06,34.527432142500004,7.505133299,9.89152239825,2347.25,0.26778492124999986,2.9517939127500004,1.429494983,0.9979266035,-1.12314111,17.235084084,21.585109047499998,0.49682647300000005,-14.09713010275,16.612308515000002,16.54899712975,186.03663428024998,-4.8875942755,12.941069715000001,16.218466567500002,26.919739087499998,4.094938223500001,22.274663185,14.390096535,20.553538705,7.0661674754999995,5.19005598275,17.186766832500002,28.384931445,-2.6246998775000003,0.18064022700000004,-2.03809593375,-2.498029104,3.951819043,10.309064315,-1.17995814325,9.380023032499999,-0.88908418425,-4.479767652,1.538535813,57.401542875000004,6.94153194275,29.777404755,0.07500584025000001,2389.875,7.110406962875,267.8276243224322,3.0183558862645046,1.0
8,Mut;FCCP,5e-06,8.372866161500001,4.754428496999999,8.382548843999999,2400.5,-1.7127890055,4.5055125515,-4.2063238925,-7.839355841,-9.501698795,-0.838211856,0.6630872985,5.726345503,13.87544471,1.7760998455,6.011227594,1.9071885435,1.9332911919999998,7.632195461,12.835237533,4.940067278,-1.013232555,1.211298394,0.5902731990000001,2.1794009975,-1.9980289230000001,-8.263743704,2.192489137,6.393342364,5.130444129000001,-0.783969608,-3.4023294915,-2.5849066625,-0.568429938,9.6588700655,4.4477420055,7.0159546665,-7.1360037155,0.5736274185000001,-0.5393424760000001,3.9640730965,11.87481773,3.580685623,5.5636547255,3237.5,2.7382857620000003,322.5746809148095,1.4728735177438224,1.0
9,Mut;Flavopiridol,5e-06,18.431571095000002,4.8277970295,1.970237837,1754.0,-0.90864649,-2.8687039345,-6.397617415,-6.8293179245,-5.628935970500001,5.1701110565,-12.282681605,0.2847117975,-3.695370313,10.970657882,9.964219435,22.666194069,-2.7155723645,3.2818563975000004,0.41447589300000004,12.910006540000001,8.0726888655,10.963244344,3.213196788,0.5760701960000001,-0.836747884,-1.2045332800000002,-1.9792452715,12.704858439999999,-2.1374767315,-1.4820099924999999,-0.721829723,-2.445249215,-0.6426306635000001,4.1110437375,1.385796936,5.9211937995,-3.70254443,-2.0984155419999997,-1.029991388,24.188297730000002,2.7263494085,14.10521526,1.952603303,2350.0,7.958685645,250.54810498772875,3.591441589299871,1.0
