Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_neg,mahalanobis_from_pos,Nuclei_Number_Living,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
PD-SC1-01,C03,Mut;Quetiapine Fumarate,5.00E-06,S1763-01,Quetiapine Fumarate,Dopamine Receptor,2.374933961,21.49902779,4444,206.287,0.00358848,0.00399755,0.328247,0.30438,47.5801,46.0773,36.1597,35.0666,814.549,912.258,344.165,2044540,921.797,2.67362,4.41954,222.558,7348.53,2198.99,2241.18,3931.93,1812.92,0.788468,987.931,365.738,1791040,662.196,665.837,751.783,751.268,795.511,990.883,-5.91501,2524.71,-6.19622,1167.31,1485.97,356.083,923.083,2009.35,-6.37538,337.696,12240400,12707.1,740.954,273.98,1427.63,182.121,0.916967,0.855986,0.90144,0.613186,0.24293,0.75707,772.547
PD-SC1-01,J15,Mut;Disulfiram ,5.00E-06,S1680-01,Disulfiram ,Dehydrogenase,2.077073463,10.29470921,2499,329.895,0.00325741,0.00358766,0.241612,0.138382,41.8037,41.442,14.536,14.4146,1052.83,910.901,341.04,1821360,910.401,3.52341,3.68488,231.933,8069.26,1836.71,1999.52,4075.1,1580.6,0.61538,961.065,356.982,1519060,882.439,869.511,434.423,419.257,753.429,868.006,-4.87347,2111.46,-3.86812,1001.63,1262.96,351.028,811.851,1688.34,-4.08636,255.643,7681250,8768.95,1074.08,257.69,1765.62,121.515,0.914366,0.856743,0.872749,0.645058,0.300979,0.699021,763.476
PD-SC1-01,J16,Mut;Tamoxifen,5.00E-06,S1238-01,Tamoxifen,Estrogen/progestogen Receptor#Autophagy,2.704945531,9.327732802,2073,387.463,0.00419634,0.00458676,0.322094,0.269383,50.8907,49.0098,34.5459,33.2225,1203.34,908.43,386.854,1534980,913.865,3.83019,2.93449,215.865,8235.98,1562.94,1689.71,4276.87,1365.88,0.447579,935.5,402.815,1277780,604.822,606.628,280.7,269.972,768.515,1033.12,-10.1592,2055.94,-9.00544,1033.56,1235.87,351.173,797.59,1647.94,-9.25159,257.516,5626880,5974.43,850.249,282.309,1843.96,91.6667,0.920405,0.868307,0.884226,0.748191,0.265675,0.734325,785.412
PD-SC1-01,J17,Mut;Mosapride Citrate,5.00E-06,S1385-01,Mosapride Citrate,5-HT Receptor,1.159542254,12.90158196,2595,295.102,0.00338924,0.0037642,0.333456,0.304883,46.2589,47.7168,35.2602,36.3149,1049.92,857.802,341.018,1829520,860.291,2.99511,4.26527,247.433,8281.77,2013.07,2132.8,4408.09,1701.31,0.632436,907.519,361.469,1543970,616.684,619.021,612.606,592.26,777.124,873.715,-3.95446,2123.18,-4.12358,1008.74,1274.13,351.459,815.138,1702.14,-4.28725,263.088,10294700,11523.5,792.712,269.645,1568.66,122.19,0.94605,0.879383,0.890559,0.63237,0.254096,0.745904,846.615
PD-SC1-01,J18,Mut;Temozolomide,5.00E-06,S1237-01,Temozolomide,DNA/RNA Synthesis#Autophagy,2.197911433,10.00944941,2657,294.073,0.00417613,0.0046197,0.220227,0.212145,47.8478,40.8354,25.3932,21.8618,1038.21,908.105,349.555,1857670,911.134,3.20837,3.88551,236.684,8577.04,1926.03,2045.66,4293,1667.19,0.609406,965.658,370.416,1609940,833.82,830.75,487.136,475.17,725.723,816.617,-2.80289,2293.51,-3.21512,1079.46,1364.06,354.071,861.533,1832.49,-3.35215,291.1,8314900,8749.24,946.794,271.604,1749.27,116.5,0.953707,0.875423,0.887091,0.654498,0.264193,0.735807,865.252
PD-SC1-01,J19,Mut;Potassium Iodide,5.00E-06,S1897-01,Potassium Iodide,Others,0.740905244,14.72619201,2394,305.611,0.00306446,0.00339461,0.359188,0.33892,48.1744,45.5388,40.9225,38.5895,1028.61,831.214,342.028,1871280,833.773,3.36018,4.36327,248.355,9065.52,2146.73,2251.27,4490.92,1866.32,0.623765,881.387,355.838,1644950,556.88,558.076,646.511,632.854,708.421,891.983,-5.78794,2063.56,-5.77068,978.773,1242.32,351.449,799.698,1656.08,-6.01355,245.637,7599250,8883.85,708.23,263.17,1751.25,108.135,0.944027,0.877611,0.891395,0.659148,0.223987,0.776013,902.396
PD-SC1-01,J20,Mut;Sulfasalazine,5.00E-06,S1576-01,Sulfasalazine,Immunology & Inflammation related,1.670520483,11.88787328,2084,376.931,0.00269423,0.00302768,0.282425,0.215955,42.8231,38.4246,23.0497,20.8731,993.714,903.825,357.476,1876070,910.509,3.80992,3.62274,243.939,9064.97,1932.55,2075.7,4393.23,1593.45,0.549393,968.015,384.933,1542490,735.462,740.939,481.7,473.367,765.4,888.928,-5.56227,2038.07,-4.8006,976.371,1223.85,353.442,794.748,1631.21,-5.01798,242.865,8093910,8252.01,824.113,278.526,1895.73,113.564,0.928983,0.849328,0.863724,0.699616,0.276389,0.723611,863.758
PD-SC1-01,J21,Mut;Rifampin,5.00E-06,S1764-01,Rifampin,DNA/RNA Synthesis,1.975085673,10.56008806,2723,301.815,0.00447162,0.00499193,0.179151,0.156275,44.9038,39.1304,17.4827,15.3009,1082.7,1046.43,354.333,1920070,1057.24,3.0712,2.94001,200.284,7476.38,1690.97,1834.88,3689.91,1411.89,0.590952,1169.83,367.39,1651670,1352.02,1362.99,432.839,409.665,900.438,1104.94,-0.97821,2753.88,-3.44723,1415.05,1611.77,351.109,979.389,2191.73,-3.43839,395.113,10312500,7575.76,932.911,276.694,1590.73,115.234,0.933529,0.867426,0.880279,0.69776,0.254789,0.745211,763.538
PD-SC1-01,J22,Mut;Ivermectin,5.00E-06,S1351-01,Ivermectin,Chloride Channel#Anti-infection,1.464752481,13.56598552,2680,343.475,0.00329546,0.00366141,0.29459,0.222527,40.7045,47.5016,22.812,26.4117,912.14,894.511,341.407,1838310,906.615,3.87435,3.74892,226.533,9097,1930.45,2055.1,4162.5,1588.3,0.632011,963.955,371.079,1531050,654.153,665.268,564.346,530.652,746.111,959.221,-5.22895,2172.39,-5.30108,1072.59,1299.1,357.613,832.682,1737.62,-5.59593,273.612,8355980,9171.08,731.126,260.724,2107.46,167.421,0.935448,0.868657,0.888433,0.648881,0.258645,0.741355,835.871
PD-SC1-01,K03,Mut;Miconazole Nitrate,5.00E-06,S1956-01,Miconazole Nitrate,Anti-infection,2.397794638,11.74311315,3813,246.394,0.00403668,0.00444365,0.345446,0.242151,40.9123,46.7476,25.0546,28.3976,923.514,904.642,378.019,1512700,913.365,2.89591,3.54654,211.378,6924.91,1604.85,1672.15,3689.34,1437.82,0.595039,959.903,404.74,1380170,600.719,600.278,373.231,371.388,768.194,861.504,-2.43053,2221.28,-3.72996,1077.43,1320.8,351.145,840.621,1772.62,-3.94057,291.52,7584780,8196.37,814.044,287.762,1462.12,101.702,0.90952,0.855757,0.891424,0.641752,0.200796,0.799204,743.077
