Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_neg,mahalanobis_from_pos,Nuclei_Number_Living,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
PD-SC1-01,C03,Mut;Quetiapine Fumarate,5.00E-06,S1763-01,Quetiapine Fumarate,Dopamine Receptor,2.374933961,21.49902779,4444,-0.6207604,0.35281184,0.47844017,1.8607421,1.0229261,-0.08556932,0.46165892,1.6580766,1.2174337,-3.128117,5.0284214,4.7364235,12.210806,5.509367,2.1836994,1.5102658,0.30073202,3.6007032,17.995857,13.733951,2.828723,14.668243,8.749265,6.3163333,8.002188,14.081241,-0.030781297,-0.021596972,27.394228,27.670584,8.951367,7.7208233,-3.6359408,7.234091,-5.527908,7.4037757,6.9462466,13.433594,7.3248253,7.0264273,-5.473245,7.2070184,11.530035,19.563791,-4.499079,1.4947826,1.6287551,10.8337555,-5.421525,-1.8403536,1.3701559,1.4086549,0.23351379,-0.23351413,-0.632967
PD-SC1-01,J15,Mut;Disulfiram ,5.00E-06,S1680-01,Disulfiram ,Dehydrogenase,2.077073463,10.29470921,2499,7.5507994,-0.23854814,-0.20746742,-0.36008522,-2.231888,-0.96476525,-0.27867156,-1.3630949,-1.2763857,3.3014843,4.983793,4.2132425,9.224146,5.156937,7.8302617,-0.3681956,0.8892026,5.98307,10.384463,9.484123,4.1444335,8.374422,2.0463645,5.595602,6.6261616,9.475318,1.4834876,1.3792697,12.514739,12.028423,6.3196483,3.4637806,-2.4968355,3.1438324,-1.1835454,3.1521208,2.9650526,-0.023885844,3.120008,3.0222487,-1.2839543,2.5358005,4.591392,8.562106,6.73971,-1.2313708,4.594827,4.8732843,-5.7997255,-1.7765402,-1.2973605,2.2255065,3.6844485,-3.6844428,-0.90659916
PD-SC1-01,J16,Mut;Tamoxifen,5.00E-06,S1238-01,Tamoxifen,Estrogen/progestogen Receptor#Autophagy,2.704945531,9.327732802,2073,11.3565445,1.4385768,1.464421,1.7030138,0.33672088,0.41831985,0.9300253,1.4326034,0.99475044,7.362738,4.902527,11.8833275,5.391725,5.264064,9.868708,-2.2868776,-0.11938845,6.534164,4.6326385,4.0358076,5.9986677,2.557407,-4.451793,4.9097733,13.828916,5.3892927,-0.42525283,-0.42883545,5.3074055,4.9951015,7.2630954,9.1841135,-8.2777,2.5943074,-10.770067,3.9715047,2.48144,0.36210614,2.580911,2.5183115,-10.737191,2.6424282,1.4648137,0.75528365,-0.81175363,2.8886476,5.282309,1.9377679,-4.9216146,-0.80169237,-0.23029521,4.8687186,1.5856743,-1.5856715,-0.24488607
PD-SC1-01,J17,Mut;Mosapride Citrate,5.00E-06,S1385-01,Mosapride Citrate,5-HT Receptor,1.159542254,12.90158196,2595,5.2506804,-0.003072135,0.08795381,1.994271,1.0327888,-0.28666246,0.7235129,1.5324026,1.3681712,3.2229655,3.2374806,4.209559,9.333345,3.6072464,4.31989,1.1158116,1.8621405,6.685519,14.089733,11.827984,7.204556,11.644599,2.706864,4.15913,7.331303,9.897163,-0.3436963,-0.34359655,20.868885,20.17918,7.8014846,3.661569,-1.4917382,3.2598343,-1.6602478,3.3345761,3.1644611,1.1235284,3.2442634,3.1943862,-1.6516168,2.9596393,8.568844,16.257267,-2.7529013,0.7693112,2.8663812,4.939669,-1.1926352,0.13201839,0.3585073,1.9003243,0.8973179,-0.8973149,1.6013428
PD-SC1-01,J18,Mut;Temozolomide,5.00E-06,S1237-01,Temozolomide,DNA/RNA Synthesis#Autophagy,2.197911433,10.00944941,2657,5.182655,1.4024773,1.5195426,-0.9082746,-0.7855763,-0.04482407,-0.37555543,0.15382704,-0.37710384,2.906989,4.8918376,5.638804,9.710057,5.179605,5.7369285,0.14479771,1.1874242,7.6615334,12.261051,10.295541,6.1468987,10.720245,1.8150192,5.718818,8.737342,11.014351,1.1492102,1.1126722,14.986197,14.662675,4.5869727,1.6834228,-0.2322963,4.945724,0.034988444,5.1493807,4.7699003,8.077233,4.9980984,4.820331,0.059773292,4.5543413,5.555754,8.507044,2.4454186,1.0971547,4.451346,4.3800697,-0.07925074,-0.20181116,0.036070734,2.4674459,1.4975709,-1.4975682,2.1635408
PD-SC1-01,J19,Mut;Potassium Iodide,5.00E-06,S1897-01,Potassium Iodide,Others,0.740905244,14.72619201,2394,5.9454165,-0.583197,-0.5305161,2.6538923,1.7001708,0.004885877,0.3756517,2.3235152,1.6428392,2.6479502,2.3630579,4.3786526,9.89219,2.7871563,6.745653,1.366388,1.9200145,9.276198,16.89789,13.911395,7.965751,16.11491,2.3710768,3.4580917,6.4463825,11.607238,-0.75487554,-0.76277536,22.458527,22.091702,3.5049412,4.2944574,-3.4969676,2.6697297,-4.733827,2.5655684,2.5965853,1.0968802,2.660597,2.6198475,-4.811035,1.9661654,4.466595,8.883091,-5.6031003,-0.3142841,4.4687214,3.55739,-1.486792,-0.017365286,0.43622923,2.5866213,-0.892622,0.8926199,3.2840135
PD-SC1-01,J20,Mut;Sulfasalazine,5.00E-06,S1576-01,Sulfasalazine,Immunology & Inflammation related,1.670520483,11.88787328,2084,10.660288,-1.2445046,-1.1445346,0.6861268,-0.71087146,-0.80960745,-0.76059836,-0.17359689,-0.49649355,1.7063417,4.7510786,6.964925,9.956291,5.160276,9.734021,-0.52708215,1.6428213,9.274381,12.398035,10.823822,7.0679965,8.722543,-0.5090071,5.782049,11.0187235,9.8721,0.472955,0.49495375,14.731331,14.577729,7.06829,4.1886177,-3.2501583,2.4174342,-2.9236045,2.5039277,2.2668576,6.4026246,2.4734755,2.3096268,-2.9889753,1.8083582,5.219426,7.1179714,-1.6935147,2.2555597,5.736623,4.0913205,-3.674308,-2.4016252,-2.136447,3.6237829,2.222607,-2.2226026,2.1184728
PD-SC1-01,J21,Mut;Rifampin,5.00E-06,S1764-01,Rifampin,DNA/RNA Synthesis,1.975085673,10.56008806,2723,5.6944685,1.9302839,2.1424303,-1.961229,-1.88105,-0.49291497,-0.64787054,-0.9513945,-1.169361,4.107475,9.441052,6.4387293,10.545112,9.698049,4.825481,-2.2727633,-1.0974114,4.0233107,7.3225102,6.588766,0.6045977,3.8038719,1.1003804,11.196112,8.261804,11.72104,4.712066,4.7734103,12.440472,11.576512,15.513285,11.672297,1.7633088,9.502365,-0.39814165,13.761239,9.19204,0.1917367,9.453316,9.301378,-0.098060474,10.475726,8.595934,5.2287874,1.9770432,1.948972,3.0600586,4.2555614,-3.0132787,-0.87596214,-0.59726465,3.5762143,0.9385154,-0.9385141,-0.90472853
PD-SC1-01,J22,Mut;Ivermectin,5.00E-06,S1351-01,Ivermectin,Chloride Channel#Anti-infection,1.464752481,13.56598552,2680,8.448556,-0.17058271,-0.08405452,0.99796826,-0.5820108,-1.1320689,0.6891417,-0.20680726,0.17231649,-0.49479175,4.4447603,4.274686,9.450975,5.0398517,10.162137,-0.20445102,0.5502439,9.380257,12.353912,10.461554,4.9476247,8.583026,2.6904066,5.673132,8.841537,9.678366,-0.08608029,-0.025510337,18.606205,17.276617,5.8619957,6.623902,-2.8856149,3.7469037,-3.857528,4.973084,3.6102273,17.506779,3.907466,3.6369524,-4.046721,3.558762,5.6182747,9.685503,-4.83065,-0.7236277,7.594685,9.3880415,-2.7342458,-0.7721875,0.16084145,2.3234878,1.1677496,-1.1677479,1.2772424
PD-SC1-01,K03,Mut;Miconazole Nitrate,5.00E-06,S1956-01,Miconazole Nitrate,Anti-infection,2.397794638,11.74311315,3813,2.0306597,1.1533902,1.2249418,2.3016257,-0.19723204,-1.1004405,0.56871635,0.10651926,0.4121227,-0.18788493,4.777949,10.404191,5.093568,5.248601,3.66074,-0.72191894,-0.4010383,2.2004323,5.5131555,3.7269988,0.59936106,4.506344,1.2586522,5.5644298,14.131432,7.1232452,-0.45346296,-0.47251046,9.645739,9.773153,7.2430177,3.2385223,0.17494412,4.230808,-0.9257311,5.0972896,3.997619,0.2875238,4.2075768,4.0735316,-1.0171343,4.578251,4.444573,6.962536,-2.033215,3.8012145,1.9314262,2.9247184,-6.504376,-1.8596584,0.438928,2.1407773,-2.271296,2.271289,-1.521948
