,tags,Concentration,mahalanobis_from_neg,mahalanobis_from_pos,Nuclei_Number_Living,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea,Nuclei_Number_Living_median,Cell_Neurites_LengthPerNuclei_MAP2_median,Nuclei_Number_Living_std,Cell_Neurites_LengthPerNuclei_MAP2_std,non_toxic
0,Mut;Alectinib hydrochloride,2.50E-06,5.515979118,7.42639524,2696.5,0.40146408,3.6491317,3.56985715,0.372675955,-1.3198846,-1.8142849,-1.5312528,-1.6599617,-1.46387195,4.29692605,2.31734575,5.8900878,1.22685956,2.3781026,-3.15614745,-5.2238725,-3.0793015,-1.96907125,-1.41486985,0.46040525,-0.6096667,-1.82763585,-1.34442805,2.05605825,9.794323,-0.188570575,0.2547671,0.380499585,-0.07738949,-0.25981796,4.7115112,1.670950265,0.92574022,2.25275765,-0.17436114,2.620639,2.2546236,0.00782768,2.244655,2.257271,-0.061396385,2.46309355,-0.916720505,-1.7755028,2.62191673,2.49105785,-4.92528615,-2.76685045,-10.866313,-11.4083875,-13.3297825,0.1626135,6.33709115,-6.3370935,-5.01611305,3005.5,2.35933495,252.587266,1.522380019,1
1,Mut;Bazedoxifene Acetate,5.00E-06,4.32816359,23.72538001,2254,7.51364255,-1.330034,-1.3554382,1.60666015,-0.1395815,0.912543785,2.475078085,0.612972935,0.864112165,0.2766683,5.63494075,2.37692535,24.0623285,5.8072191,4.3884668,2.324732452,2.41469065,10.2463215,30.727522,28.33067,6.57333225,18.7907465,9.89551265,7.1259276,2.5601016,18.837684,0.32724966,0.311339275,57.9679335,57.95751,7.4068254,9.00897185,-4.0400449,4.06360995,-5.26468065,5.56990075,4.1249342,281.429081,4.44674015,4.0649616,-5.1980098,4.2718967,16.92191775,26.268091,-9.04402925,-1.52594775,6.3246215,14.8787,-4.508977135,-2.08212435,-0.77036155,2.76258875,3.209231525,-3.209235865,0.6489836,2429.75,6.2621285,285.1071437,2.445270698,1
2,Mut;Bazedoxifene HCl,5.00E-06,5.189614096,27.1168094,1887,10.36934633,-0.454274013,-0.43764089,-1.153744093,-1.5981915,-2.1107289,-1.013340633,-1.950457733,-1.59986142,0.328532733,11.86131633,1.32313957,31.19247067,11.71572407,5.9985198,0.570251273,1.800056833,15.00273433,26.61438867,28.02030733,8.007035867,14.10675833,4.012137967,13.00882067,2.036816267,23.88887933,1.915915667,1.888705917,51.08490067,49.89073067,14.69545017,15.30832067,-7.2203352,9.504838567,-7.516899533,12.211471,9.639339333,267.241289,9.957366333,9.5459582,-7.4613068,10.52686433,16.809726,13.407921,-3.9537169,-0.291909147,10.1122265,12.45864567,-3.856229067,-1.6505761,-1.6737386,4.0159415,3.7747078,-3.774709067,-0.46444897,2387.166667,7.6363311,244.6933554,3.323124048,1
3,Mut;Bimiralisib,5.00E-06,4.329709522,12.15167295,2940,5.22787825,4.0289246,4.1913743,2.1682643,1.0370423,-2.59528835,-4.13073145,-0.14630905,-0.190030712,5.68407085,8.2973927,5.9515445,9.3812315,10.205995,4.11940585,-4.31395005,-1.15947865,1.78086678,6.1244535,7.4901508,-0.157450965,5.25654695,5.85625835,10.578548,11.224848,9.194622,0.97375886,1.88445676,7.63820665,7.07955315,13.057929,12.4179015,-4.32651765,6.5355865,-5.4492625,8.5762465,6.4946268,0.228254975,6.52628585,6.508973,-5.75641085,7.9145152,8.1822781,7.13963565,2.3211165,1.8402666,1.57796455,2.6506502,-4.23167665,-2.33651963,-0.591482925,3.0412104,6.8036277,-6.8036235,1.988617,3136.75,1.872299025,244.3632519,1.327833731,1
4,Mut;Chloroquine Phosphate,5.00E-06,4.894927411,27.01758433,2842.5,9.30804885,-0.017362682,0.069820837,-0.474310868,-2.0895589,-2.96760975,-2.2714408,-2.368601,-2.0713391,2.97910225,9.34708075,4.7315787,23.1881585,11.6975105,6.472744,2.43282025,4.06722195,5.18744265,17.9527435,22.1188355,5.8203112,14.9682405,9.2328793,11.61489575,8.30746195,17.8738975,1.13186102,1.552688715,43.339095,39.762553,17.7836125,18.18473175,-11.184254,10.8974335,-13.5424545,9.96864175,10.786466,10.91809435,10.9057405,10.819986,-13.871028,9.6597065,17.308111,16.61707,5.3397238,2.37535928,5.16560835,21.283974,-4.1667067,-2.421833115,-0.08697075,1.3109225,3.12219048,-3.122192675,1.101815175,3005.5,2.35933495,252.587266,1.522380019,1
5,Mut;Duloxetine,5.00E-06,4.846085106,26.78543039,2716.5,0.05277925,-0.22419128,-0.223575565,-2.023151569,-0.351991676,-0.0024058,0.389343075,-0.310916975,-0.193752675,-5.4073163,4.02870915,-2.2172152,21.02435,4.46577935,1.6241289,7.491851,4.26299885,3.42143625,19.1420745,20.668857,6.13664925,15.2084245,11.2807535,5.916009,-2.08568145,17.745963,2.337873045,2.820757465,22.460316,21.9528265,6.0090617,10.2256345,-6.7698155,5.983624,-7.681297,5.737618,6.0178053,18.565273,6.18643285,5.98591175,-7.9737385,5.372672,8.7272185,8.0436163,-2.6193588,-1.54417153,1.42546025,32.282693,-2.30452995,-0.91300457,-0.169353075,-1.3865843,1.8677689,-1.86777195,0.398551735,2640.25,-0.146433056,266.5323559,1.027324393,1
6,Mut;Ensartinib dihydrochloride,5.00E-06,4.792495725,20.82766632,2922,4.9153454,6.41838415,6.5728271,-0.1835554,0.03252335,-2.2718303,-4.06503535,-1.1316814,-0.934712435,4.7822776,19.558076,3.5781882,19.183607,24.5586955,1.589365235,-2.95264555,-0.951417125,0.720539225,9.4959245,11.366229,-1.201392585,7.874754,6.5547848,25.8036335,4.2201293,20.923714,4.20702595,5.06839565,17.357641,17.132185,16.413712,20.30761675,-5.15858265,11.2622235,-6.56192075,12.1535815,11.718071,145.3831835,11.3292023,11.5517752,-6.933806,11.610737,17.570509,10.8023605,14.4881745,1.8145206,0.860399125,5.67410685,-4.55361735,-3.5964907,-2.2823934,1.09327488,5.4840812,-5.48407625,-0.38089951,3363.75,1.350890025,231.7990204,1.287073127,1
7,Mut;Entinostat,5.00E-06,7.505081265,34.02695063,2347.25,9.891523,-1.289949501,-1.17995797,3.9518189,1.538535783,-2.498029525,-2.038095963,0.180640295,0.05008765,-2.624700031,6.94153205,3.89958555,28.3849305,7.2608655,17.186765,5.190055725,7.066167075,20.55353575,29.86632125,29.77740325,14.39009613,22.27466075,4.0949376,8.758295875,11.06401513,26.91973775,0.075005898,0.116865095,57.401536,55.34397575,16.21846863,12.9410725,-4.88759375,9.49732725,-4.711221025,10.3090635,9.380018625,186.0265993,9.62326275,9.39963935,-4.47976775,8.4625849,16.548997,16.61230938,-14.09713168,0.49682539,21.5851085,17.235084,-1.123140645,0.997927685,1.429496975,2.9517935,0.889083473,-0.88908617,0.267784708,2389.875,7.110407,267.8276243,3.018356252,1
8,Mut;FCCP,5.00E-06,4.754418228,8.277364664,2400.5,8.382549,4.3653749,4.4477415,-0.56842945,-0.5393426,-2.5849069,-3.40232965,-0.7839697,-0.9049147,5.1304437,11.874806,8.45420215,6.3933428,12.6740705,2.19248895,-8.2637445,-1.9980288,2.1794021,2.2108658,3.58068535,0.590273785,1.21129725,-1.0132319,11.429109,16.6960215,4.9400676,5.56365605,7.61428745,3.9640731,3.5964715,12.83522935,7.63219485,1.933291125,7.0123785,0.3292374,9.65887,7.0159552,1.9070903,7.0222153,7.0184952,0.57362775,7.4837324,6.0112275,1.77609985,13.8754425,5.7263483,0.66308647,-0.838211975,-9.50172275,-7.8393529,-4.206337,4.50551335,7.13600445,-7.13600585,-1.7127901,3237.5,2.7382859,322.5746809,1.472873478,1
9,Mut;Flavopiridol,5.00E-06,4.827753939,18.16859059,1754,1.9702374,1.3305621,1.38579675,-0.642630245,-1.02999161,-2.4452493,-0.72182978,-1.48201003,-1.07132465,-2.1374766,2.7263482,-0.217252025,12.704858,2.7811516,-1.97924495,-1.204533365,-0.836748355,0.5760715,12.8549475,14.105217,3.21319296,10.9632405,8.07268725,4.3570702,0.309115605,12.910005,1.9526034,1.8875041,24.1882935,23.8224955,0.4144755,3.2818572,-2.71557255,5.9186435,-2.189407,4.111044086,5.9211932,22.6690765,5.9976342,5.91099,-2.09841545,4.983771875,9.964219,10.97065885,-3.69537,0.28471234,-12.282682,5.1701115,-5.6289378,-6.82932045,-6.39762,-2.8687033,3.7025442,-3.7025452,-0.90864525,2350,7.9586855,250.548105,3.591441807,1
