Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_pos,mahalanobis_from_neg,Cell_Neurites_LengthPerNuclei_MAP2,Nuclei_Number_Living,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA
PD-SC1-01,C03,Mut;Quetiapine Fumarate,5.00E-06,S1763-01,Quetiapine Fumarate,Dopamine Receptor,21.83096317,2.393049533,-0.620760304,4444,-0.632965662,1.408655156,1.370154798,-1.840355788,-5.421519593,10.83375368,1.628755022,1.494781683,-4.49907989,19.56379447,11.53003343,13.43320426,-3.635941056,7.720822117,8.951365653,14.08124135,8.749263418,14.66824288,2.828723479,3.600704097,0.300732077,1.510265898,2.183700052,12.21080537,-3.128117963,1.658076841,0.461658446,-0.085569528,1.860741827,7.40377509,0.478440313,6.946246046,-0.2335143,-5.473244612,1.022925926,27.39422274,5.028418351,13.73394879,-0.030781365
PD-SC1-01,J15,Mut;Disulfiram ,5.00E-06,S1680-01,Disulfiram ,Dehydrogenase,10.46307063,2.118967224,7.550798767,2499,-0.906598198,2.225507531,-1.297356317,-1.776540602,-5.799724567,4.873283667,4.594826736,-1.231370759,6.739713171,8.562105603,4.591391416,-0.023959342,-2.496835847,3.463780789,6.319644764,9.475318038,2.046365159,8.374422354,4.144432326,5.983070424,0.889202798,-0.36819539,7.830263063,9.224145635,3.301485552,-1.363094947,-0.278672083,-0.964765222,-0.360084869,3.152121068,-0.20746749,2.965052701,-3.684449019,-1.283954148,-2.231888295,12.51473706,4.983789559,9.484120294,1.483487171
PD-SC1-01,J16,Mut;Tamoxifen,5.00E-06,S1238-01,Tamoxifen,Estrogen/progestogen Receptor#Autophagy,9.475535482,2.752282744,11.35654203,2073,-0.24488468,4.868719004,-0.230296087,-0.801694084,-4.92160852,1.937767429,5.282308786,2.88865054,-0.811754711,0.75528271,1.464813435,0.362052275,-8.277701271,9.184111866,7.263091875,5.38929268,-4.451792025,2.557406412,5.998665575,6.534161837,-0.11938894,-2.286876911,9.868710915,5.391725099,7.362739387,1.43260354,0.930024955,0.418319619,1.703014042,3.971503691,1.464421275,2.481439734,-1.585673858,-10.73719125,0.33672047,5.307404141,4.90252372,4.035807095,-0.425253121
PD-SC1-01,J17,Mut;Mosapride Citrate,5.00E-06,S1385-01,Mosapride Citrate,5-HT Receptor,13.10854917,1.182894641,5.250680209,2595,1.601343094,1.900324834,0.358506948,0.132013978,-1.192632525,4.939668469,2.866380673,0.76931386,-2.752901413,16.25726756,8.568842033,1.123426912,-1.491738513,3.661567591,7.801480857,9.897163577,2.706865209,11.64459744,7.20455588,6.685520257,1.862141056,1.115811017,4.319890808,9.33334513,3.222964201,1.532402511,0.723512459,-0.286662484,1.994270842,3.334576766,0.087953632,3.164460483,-0.897317932,-1.651616537,1.032788524,20.86888187,3.237478433,11.82798002,-0.343696598
PD-SC1-01,J18,Mut;Temozolomide,5.00E-06,S1237-01,Temozolomide,DNA/RNA Synthesis#Autophagy,10.17364617,2.240965269,5.182654399,2657,2.16354016,2.467446739,0.036073832,-0.201814473,-0.079247101,4.380069182,4.451345353,1.097155028,2.445419079,8.507043382,5.555753307,8.07696031,-0.232296356,1.683422408,4.586969061,11.01435146,1.81501975,10.72024673,6.146897633,7.661532502,1.187424066,0.144797951,5.736930344,9.710056626,2.906989964,0.153827057,-0.375555672,-0.044824308,-0.908274156,5.149382249,1.5195429,4.769898435,-1.497570958,0.059773277,-0.785576524,14.98619638,4.891835174,10.29553752,1.149209932
PD-SC1-01,J19,Mut;Potassium Iodide,5.00E-06,S1897-01,Potassium Iodide,Others,14.95481447,0.750730521,5.945416102,2394,3.284012758,2.586622302,0.43623304,-0.017365823,-1.486791949,3.557389386,4.46872108,-0.314285714,-5.603101384,8.883092374,4.466594327,1.096805421,-3.496967902,4.294457644,3.504937912,11.60723835,2.371077455,16.11491134,7.965750012,9.276198609,1.920015189,1.366388435,6.745655712,9.892189608,2.647950452,2.323515087,0.375651502,0.004885773,2.653892387,2.56556834,-0.53051636,2.596585678,0.892621489,-4.811035034,1.700170732,22.45852443,2.363056688,13.91139136,-0.754875685
PD-SC1-01,J20,Mut;Sulfasalazine,5.00E-06,S1576-01,Sulfasalazine,Immunology & Inflammation related,12.07464806,1.702921282,10.66028563,2084,2.118472691,3.62378288,-2.136444805,-2.401625947,-3.674302765,4.091319883,5.736622619,2.255560627,-1.693514452,7.117972433,5.219425154,6.402468538,-3.250158492,4.188617973,7.068286244,9.872100093,-0.509006371,8.722543883,7.067994914,9.274380589,1.642821941,-0.527081929,9.734023719,9.956290783,1.70634183,-0.173596838,-0.760598462,-0.809607669,0.6861274,2.503928595,-1.144535121,2.266857679,-2.222606701,-2.988974979,-0.710871755,14.73132846,4.751075242,10.82382043,0.472954956
PD-SC1-01,J21,Mut;Rifampin,5.00E-06,S1764-01,Rifampin,DNA/RNA Synthesis,10.73232107,2.015425672,5.694467634,2723,-0.904727928,3.576215171,-0.597263651,-0.875962484,-3.013280153,4.255560799,3.060058601,1.948973072,1.977043257,5.228787893,8.595932133,0.191674734,1.763308702,11.67229687,15.51328233,11.72104012,1.100381621,3.803871127,0.604599323,4.023311085,-1.097411585,-2.272762754,4.825482754,10.54511159,4.107476198,-0.951394502,-0.647871068,-0.492915182,-1.961228243,13.76123989,2.142430654,9.192038265,-0.938515847,-0.098060385,-1.881050388,12.44047091,9.441044887,6.588764156,4.712065303
PD-SC1-01,J22,Mut;Ivermectin,5.00E-06,S1351-01,Ivermectin,Chloride Channel#Anti-infection,13.77351232,1.48025808,8.448554351,2680,1.277243439,2.323487785,0.160844663,-0.772189044,-2.734243112,9.388040235,7.594684585,-0.723626959,-4.830650702,9.685503429,5.618273604,17.50629235,-2.885615078,6.623900459,5.861992241,9.678366132,2.690406924,8.58302436,4.94762401,9.380255457,0.550243663,-0.204450718,10.16213896,9.450975469,-0.494792449,-0.206807275,0.689141624,-1.132068717,0.997968535,4.973085393,-0.084054622,3.610227031,-1.167749844,-4.0467204,-0.582010931,18.60620233,4.444757951,10.46154919,-0.086080566
PD-SC1-01,K03,Mut;Miconazole Nitrate,5.00E-06,S1956-01,Miconazole Nitrate,Anti-infection,11.91807665,2.423445977,2.030659666,3813,-1.521947125,2.14077755,0.43892928,-1.859660514,-6.504369436,2.924717644,1.931426147,3.8012171,-2.033215968,6.962535497,4.444572207,0.287512101,0.174944092,3.23852071,7.243017202,7.1232455,1.258652242,4.506345155,0.599361117,2.200432118,-0.401038873,-0.721918656,3.660740841,5.093567652,-0.187884595,0.106519299,0.56871593,-1.100440564,2.301625977,5.09728871,1.224941742,3.997617263,2.271295145,-1.017134,-0.197232354,9.645738174,4.777944603,3.726997244,-0.453463071
