Plate,Well,mahalanobis_from_neg,tags,SC_cat,SC_Batch,SC_name,SC_Target_name,final_conc,Destination Plate Barcode,Nuclei_Number_Living,Cell_Neurites_LengthPerNuclei_MAP2,mahalanobis_from_pos,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
PD-SCD-01,K19,7.544721841,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,2.51E-06,PD-SCD-01,531,1.0106583,4.198779634,0.570165,0.5446314,1.2808613,2.4390016,0.2245172,0.73120254,2.296522,2.4234726,0.29633528,0.41209334,-0.058905173,3.65385,0.1281517,-0.5537908,1.3279027,1.7677383,3.3421655,2.7215648,2.9745762,4.688638,2.6206255,0.26390752,-0.04299192,1.1738956,2.1459796,-0.2754529,-0.8210972,1.5527446,1.8522118,0.9571106,1.6191376,-1.3565065,1.4751594,-1.0818423,1.1582261,1.4637511,-2.5683286,1.4511763,1.470291,-1.0661151,1.0099552,2.3705416,3.4813986,-0.02696559,-0.59533346,0.04224128,1.2703681,-9.008108,-8.228436,-12.943506,-1.9211159,2.988903,-2.9889002,-2.9355721
PD-SCD-01,N08,4.155022542,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,1.03E-07,PD-SCD-01,1070,-2.031334,7.214904997,1.238426,1.1785519,1.282832,-1.2986257,1.8825366,3.4560845,-1.0288975,-0.48384756,-1.8113292,0.2942554,-0.22483785,3.3371663,0.4755093,-0.12366788,3.9916523,0.723676,1.182844,4.070348,2.8643913,1.7793694,3.6109786,5.2312984,0.55923927,-1.032054,4.173813,-0.54262197,-0.59565103,1.8458605,2.8008392,1.6402069,1.2866349,0.056760535,2.7711325,0.24921605,1.7903273,2.7792902,3.372158,2.8098285,2.7743943,0.28553307,1.5093809,6.945775,7.4372573,-0.34281504,-1.6270641,-0.9355357,3.0256214,-6.7995715,-6.142543,-1.7401291,-4.23384,0.7000046,-0.7000041,-2.3091047
PD-SCD-01,N22,7.421459452,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,1.01E-05,PD-SCD-01,510,9.2528925,10.04981259,2.4634757,2.448224,-2.5518234,-1.4999129,-6.850531,-5.68783,-3.5072172,-2.9121962,1.9896804,1.8348249,-3.5287492,19.757689,7.6296535,11.587044,10.323067,9.5019045,5.57926,19.814917,12.54217,8.12767,32.167576,2.435627,1.7115452,2.1003397,43.66775,16.65594,28.082273,-2.8514512,-1.0585878,-3.5389876,-3.1123424,0.15050359,0.23768081,0.69681424,-1.4078352,0.1727418,-2.6126568,0.22495921,0.20029564,0.62894213,0.52690357,-4.3371124,-2.213296,0.090747446,0.80242866,-7.4434233,-1.8803623,-94.76134,-81.03777,-178.1668,-22.882757,7.471527,-7.4715214,-15.616001
PD-SCD-01,M15,2.132825735,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,3.08E-07,PD-SCD-01,1014,-1.76103,10.01751375,0.5013725,0.46725905,1.2253257,0.68194664,5.9553213,5.2576017,2.8993282,2.5107067,-1.7498249,0.6434055,-1.6744704,5.6180363,0.84121066,0.5868292,6.2415133,2.29769,1.5378716,4.7169356,4.171865,2.0989623,4.1473713,7.103566,0.96569484,-2.388177,5.431547,-0.35785294,-0.44347996,3.462389,4.049843,2.3635743,2.6344056,-0.7050425,3.3723881,-0.5283223,2.6650484,3.3626876,4.2204003,3.414264,3.3604057,-0.49947423,2.141776,9.826249,9.615832,-0.056076616,0.5797486,-0.5242154,4.129454,-4.8398266,-3.5931268,-0.5073866,-4.3902426,1.5139099,-1.5139083,-3.0409842
PD-SCD-01,D05,6.32475041,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,5.03E-06,PD-SCD-01,672,3.9384816,8.897948441,1.1170262,1.1226337,-1.0384122,-1.149971,-3.430608,-3.545811,-2.3837473,-2.1158128,0.767899,1.848341,-0.19062862,10.112633,3.4394846,0.55135775,3.246654,4.894365,-1.1054688,4.880194,5.9586024,2.8649218,6.4348836,8.467922,1.6671654,3.450083,9.48725,4.031469,5.0763383,-1.8251721,-0.42388004,-0.29142934,0.39398506,-0.44629917,1.243619,-1.072306,0.49528253,1.2593001,7.4553437,1.3079715,1.2445942,-1.0893377,1.2009434,-1.4433078,-0.22248109,0.14053005,0.4258534,-3.5149362,0.55601186,-70.232735,-57.91939,-105.51041,-14.848564,5.987797,-5.9877934,-12.718726
PD-SCD-01,G03,1.783430038,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,1.03E-06,PD-SCD-01,1028,-0.97384447,10.81274932,-0.8000418,-0.82438487,-0.96777874,-0.8064256,-1.2288392,0.9975594,-1.3263867,-0.58521,-3.5206835,0.6893442,-3.3128974,12.475372,1.5206442,1.4242225,10.002661,5.459594,1.016413,9.357213,9.140408,4.275531,7.976197,12.6934805,1.8274666,-3.0762005,11.81136,0.39574528,0.75851727,7.2423286,7.387131,0.35998031,0.7078498,0.5794626,2.7972867,0.73972577,2.0630715,2.8553243,27.782701,3.0727847,2.8097112,0.76305467,2.241792,14.783403,14.732636,0.08476386,-3.0493684,0.4361172,10.479227,-11.165554,-9.032704,-2.2333603,-5.2986116,2.5872118,-2.5872107,-1.6405596
PD-SCD-02,K04,2.490909725,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,1.03E-07,PD-SCD-02,960,-2.884733,10.59199329,-1.6571047,-1.6474184,1.7634661,1.0555286,1.0023963,2.566763,1.5006049,1.8494661,-2.367838,0.39020017,-0.7466916,7.403603,0.59000355,1.405725,4.128092,1.3812726,2.2335272,9.140238,7.9328613,0.8087761,8.892374,8.748135,0.71210474,-1.1919838,6.7132454,0.026762594,0.05954531,7.081425,7.925538,3.3853824,3.8149984,-2.1877463,4.5797157,-2.37354,3.59901,4.6523013,28.302576,4.691863,4.617363,-2.4552054,3.5108972,15.661895,16.03941,-0.16454348,-0.10940183,-0.50468963,6.7619658,-4.8607354,-4.2133613,-0.6628444,-2.35704,1.7721395,-1.7721397,-3.5559833
PD-SCD-02,I04,0.130235908,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,1.01E-05,PD-SCD-02,1108,-3.5511384,13.04677573,-1.2263354,-1.2888141,-0.8587522,-0.2969173,-1.0248792,1.2502797,-0.3060285,0.13446496,-3.8397946,1.5937754,-0.6255854,12.685901,2.0511672,3.0963068,5.831788,1.8980151,2.8866763,12.202221,11.746455,2.4613037,11.435183,7.9038234,2.488224,-2.512141,11.119473,0.7785338,0.85245043,12.722496,12.369267,2.5942461,3.2118666,0.049639903,5.3102818,0.09501312,5.3058305,5.39048,39.501472,5.4682293,5.3489122,0.08340835,4.9239497,23.884586,24.368649,-0.9346848,-0.6966112,2.0779283,13.13443,-0.11971408,0.031688686,1.4751029,-0.6036875,0.10975541,-0.10975543,-2.5852137
PD-SCD-02,J05,0.949004837,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,3.08E-07,PD-SCD-02,903,-4.437493,11.90396241,-0.93003553,-0.8929363,-0.90917754,-1.9913558,-0.34703162,1.3856946,-1.5839915,-1.411791,-2.8590791,3.5027795,0.9147866,10.920547,3.288038,-0.6488572,4.463724,1.3512135,2.3749828,8.096991,7.1370263,3.6481814,9.782922,3.8570595,3.4258225,-2.0534868,11.229034,1.8478208,1.5808111,6.9288573,7.260644,4.895991,3.2728562,-0.17485963,4.82877,-0.20752557,5.0305667,4.885896,68.70433,5.1018367,4.8380203,-0.18842745,5.4658732,21.703854,15.944538,2.9430783,0.48637742,-1.914056,5.037394,-4.1015787,-3.2525814,-0.02099702,-0.7997106,0.9255661,-0.92556685,-2.7787173
PD-SCD-02,N03,1.929993201,Mut;Alectinib hydrochloride,S5232,S5232-01,Alectinib hydrochloride,ALK,1.03E-06,PD-SCD-02,1022,-6.5811014,11.07761044,-0.66077197,-0.6415721,-1.5298085,-0.79020643,1.853299,-1.0549052,-0.13407786,-0.71519595,-1.8601028,1.8774548,-0.71647924,8.898521,2.1033266,-1.5860274,7.1763425,3.5528398,2.2572393,8.93403,7.3279343,1.7700149,9.547215,10.152984,3.1780884,-2.940344,10.687828,1.2627664,1.2999678,7.809374,8.460943,2.733913,2.996361,-1.7367575,4.054627,-2.036822,3.018008,4.0860057,13.686015,4.1102366,4.070574,-2.1042025,3.2725902,17.342388,17.27956,0.17311615,1.2339147,-4.995939,3.5782504,0.5057855,-0.5975965,-1.586079,-3.5825658,-1.0564114,1.0564115,-1.6248622
