,column,value,Compound,Concentration (M)
0,Bimiralisib_0.5μΜ,1.020348,Bimiralisib,5.00E-07
1,Bimiralisib_0.5μΜ,0.919887,Bimiralisib,5.00E-07
2,Bimiralisib_0.5μΜ,0.938265,Bimiralisib,5.00E-07
3,Bimiralisib_0.5μΜ,1.020589,Bimiralisib,5.00E-07
4,Bimiralisib_0.5μΜ,1.157296,Bimiralisib,5.00E-07
5,Bimiralisib_0.5μΜ,0.89865,Bimiralisib,5.00E-07
6,Bimiralisib_0.5μΜ,0.992605,Bimiralisib,5.00E-07
7,Bimiralisib_0.5μΜ,0.79707,Bimiralisib,5.00E-07
8,Bimiralisib_0.5μΜ,0.857764,Bimiralisib,5.00E-07
9,Bimiralisib_0.5μΜ,1.39043,Bimiralisib,5.00E-07
10,Bimiralisib_100nM,0.971133,Bimiralisib,1.00E-07
11,Bimiralisib_100nM,1.264123,Bimiralisib,1.00E-07
12,Bimiralisib_100nM,1.060218,Bimiralisib,1.00E-07
13,Bimiralisib_100nM,1.437945,Bimiralisib,1.00E-07
14,Bimiralisib_10nM,0.866097,Bimiralisib,1.00E-08
15,Bimiralisib_10nM,0.869069,Bimiralisib,1.00E-08
16,Bimiralisib_10nM,0.944968,Bimiralisib,1.00E-08
17,Bimiralisib_10nM,1.179547,Bimiralisib,1.00E-08
18,Bimiralisib_10μM,0.618794,Bimiralisib,1.00E-05
19,Bimiralisib_10μM,0.613847,Bimiralisib,1.00E-05
20,Bimiralisib_10μM,0.489613,Bimiralisib,1.00E-05
21,Bimiralisib_10μM,0.720603,Bimiralisib,1.00E-05
22,Bimiralisib_10μM,0.473542,Bimiralisib,1.00E-05
23,Bimiralisib_10μM,0.646285699,Bimiralisib,1.00E-05
24,Bimiralisib_10μM,0.481028506,Bimiralisib,1.00E-05
25,Bimiralisib_10μM,0.770570535,Bimiralisib,1.00E-05
26,Bimiralisib_10μM,0.463183,Bimiralisib,1.00E-05
27,Bimiralisib_10μM,0.534044,Bimiralisib,1.00E-05
28,Bimiralisib_1μM,0.770679,Bimiralisib,1.00E-06
29,Bimiralisib_1μM,0.73147,Bimiralisib,1.00E-06
30,Bimiralisib_1μM,0.871321,Bimiralisib,1.00E-06
31,Bimiralisib_1μM,0.626551,Bimiralisib,1.00E-06
32,Bimiralisib_1μM,0.665723,Bimiralisib,1.00E-06
33,Bimiralisib_1μM,0.681694445,Bimiralisib,1.00E-06
34,Bimiralisib_1μM,0.626605833,Bimiralisib,1.00E-06
35,Bimiralisib_1μM,0.854705606,Bimiralisib,1.00E-06
36,Bimiralisib_1μM,0.527974,Bimiralisib,1.00E-06
37,Bimiralisib_1μM,0.667524,Bimiralisib,1.00E-06
38,Bimiralisib_1μM,1.051135,Bimiralisib,1.00E-06
39,Bimiralisib_1μM,0.91068,Bimiralisib,1.00E-06
40,Bimiralisib_1μM,1.007569,Bimiralisib,1.00E-06
41,Bimiralisib_1μM,1.379404,Bimiralisib,1.00E-06
42,Bimiralisib_1μM,0.896791,Bimiralisib,1.00E-06
43,Bimiralisib_1μM,0.840433,Bimiralisib,1.00E-06
44,Bimiralisib_1μM,0.745502,Bimiralisib,1.00E-06
45,Bimiralisib_1μM,1.096227,Bimiralisib,1.00E-06
46,Bimiralisib_1μM,0.697363,Bimiralisib,1.00E-06
47,Bimiralisib_1μM,0.646956,Bimiralisib,1.00E-06
48,Bimiralisib_1μM,0.872152,Bimiralisib,1.00E-06
49,Bimiralisib_1μM,0.956766,Bimiralisib,1.00E-06
50,Bimiralisib_1μM,0.623449,Bimiralisib,1.00E-06
51,Bimiralisib_1μM,0.884125,Bimiralisib,1.00E-06
52,Bimiralisib_2.5μΜ,0.744402,Bimiralisib,2.50E-06
53,Bimiralisib_2.5μΜ,0.51285,Bimiralisib,2.50E-06
