Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz),Synchrony Index,Replicate
B6,Tripli DMSO,0,0,,1
B6,Tripli DMSO,0.5,0.041875,,1
B6,Tripli DMSO,1,0.000208,,1
B6,Tripli DMSO,2,0.000104,,1
B6,Tripli DMSO,4,0.000104,,1
B6,Tripli DMSO,8,0,,1
B6,Tripli DMSO,24,0.000625,,1
B6,Tripli DMSO,48,0.086494,0,1
B6,Tripli DMSO,72,0.000104,,1
B1,Tripli Tyr9,0,0.127708,0.009151,1
C1,Tripli Tyr9,0,0.033854,1.00E-06,1
B1,Tripli Tyr9,0.5,0.006042,0,1
C1,Tripli Tyr9,0.5,0,,1
B1,Tripli Tyr9,1,0.002917,,1
C1,Tripli Tyr9,1,0,,1
B1,Tripli Tyr9,2,0,,1
C1,Tripli Tyr9,2,0,,1
B1,Tripli Tyr9,4,0.000625,,1
C1,Tripli Tyr9,4,0,,1
B1,Tripli Tyr9,8,0.000521,,1
C1,Tripli Tyr9,8,0,,1
B1,Tripli Tyr9,24,0.003854,,1
C1,Tripli Tyr9,24,0,,1
B1,Tripli Tyr9,48,0.000521,,1
C1,Tripli Tyr9,48,0.065861,,1
B1,Tripli Tyr9,72,0,,1
C1,Tripli Tyr9,72,0.043143,0,1
E6,WT DMSO,0,0.032708,0,1
F3,WT DMSO,0,0.411042,0.012551,1
F6,WT DMSO,0,0.433333,,1
E6,WT DMSO,0.5,0.014375,0,1
F3,WT DMSO,0.5,0.609688,0.015392,1
F6,WT DMSO,0.5,0.482917,,1
E6,WT DMSO,1,0.004583,0,1
F3,WT DMSO,1,0.64625,0.040901,1
F6,WT DMSO,1,0.451979,0.002428,1
E6,WT DMSO,2,0.000104,,1
F3,WT DMSO,2,0.468008,0.015465,1
F6,WT DMSO,2,0.496665,,1
E6,WT DMSO,4,0.000208,0,1
F3,WT DMSO,4,0.320133,0.004822,1
F6,WT DMSO,4,0.764485,,1
E6,WT DMSO,8,0.000104,,1
F3,WT DMSO,8,0.637812,0.065099,1
