Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz),Replicate
A1,Tripli DMSO,0.00E+00,0.000625,2
A2,Tripli DMSO,0.00E+00,0,2
A3,Tripli DMSO,0.00E+00,0,2
A4,Tripli DMSO,0.00E+00,0,2
A5,Tripli DMSO,0.00E+00,0.025,2
A6,Tripli DMSO,0.00E+00,0,2
A7,Tripli DMSO,0.00E+00,0,2
A8,Tripli DMSO,0.00E+00,0.000208,2
B1,Tripli DMSO,0.00E+00,0,2
B2,Tripli DMSO,0.00E+00,0.000104,2
B3,Tripli DMSO,0.00E+00,0.008125,2
B4,Tripli DMSO,0.00E+00,0,2
B5,Tripli DMSO,0.00E+00,0,2
B6,Tripli DMSO,0.00E+00,0,2
B7,Tripli DMSO,0.00E+00,0,2
B8,Tripli DMSO,0.00E+00,0.000521,2
C1,Tripli DMSO,0.00E+00,0.03375,2
C2,Tripli DMSO,0.00E+00,0.037604,2
C3,Tripli DMSO,0.00E+00,0.000104,2
C4,Tripli DMSO,0.00E+00,0.000208,2
C5,Tripli DMSO,0.00E+00,0,2
C6,Tripli DMSO,0.00E+00,0.036771,2
C7,Tripli DMSO,0.00E+00,0,2
C8,Tripli DMSO,0.00E+00,0,2
D1,WT DMSO,0.00E+00,0,2
D2,WT DMSO,0.00E+00,0.133542,2
D3,WT DMSO,0.00E+00,0.09375,2
D4,WT DMSO,0.00E+00,0.088854,2
D5,WT DMSO,0.00E+00,0.051042,2
D6,WT DMSO,0.00E+00,0.047708,2
D7,WT DMSO,0.00E+00,0.102292,2
D8,WT DMSO,0.00E+00,0.001667,2
E1,WT DMSO,0.00E+00,0.127292,2
E2,WT DMSO,0.00E+00,0,2
E3,WT DMSO,0.00E+00,0.000417,2
E4,WT DMSO,0.00E+00,0.148854,2
E5,WT DMSO,0.00E+00,0,2
E6,WT DMSO,0.00E+00,0.000417,2
E7,WT DMSO,0.00E+00,0.017813,2
E8,WT DMSO,0.00E+00,0.03625,2
F1,WT DMSO,0.00E+00,0,2
F2,WT DMSO,0.00E+00,0.141875,2
F3,WT DMSO,0.00E+00,0.001875,2
F4,WT DMSO,0.00E+00,0.001042,2
F5,WT DMSO,0.00E+00,0.001562,2
F6,WT DMSO,0.00E+00,0.214375,2
F7,WT DMSO,0.00E+00,0,2
F8,WT DMSO,0.00E+00,0,2
A1,Tripli Tyr9,0.5,0,2
A2,Tripli TIC10,0.5,0,2
A3,Tripli DMSO,0.5,0,2
A4,Tripli Tyr9,0.5,0,2
A5,Tripli TIC10,0.5,0.000209,2
A6,Tripli DMSO,0.5,0.000104,2
A7,Tripli Tyr9,0.5,0,2
A8,Tripli TIC10,0.5,0.000104,2
B1,Tripli Tyr9,0.5,0,2
B2,Tripli TIC10,0.5,0,2
B3,Tripli DMSO,0.5,0,2
B4,Tripli Tyr9,0.5,0,2
B5,Tripli TIC10,0.5,0,2
B6,Tripli DMSO,0.5,0,2
B7,Tripli Tyr9,0.5,0,2
B8,Tripli TIC10,0.5,0,2
C1,Tripli Tyr9,0.5,0,2
C2,Tripli TIC10,0.5,0.004483,2
C3,Tripli DMSO,0.5,0,2
