,column,value,Compound,Concentration (M)
0,Bimiralisib_0.5μM,1.236493,Bimiralisib,5e-07
1,Bimiralisib_0.5μM,1.7063,Bimiralisib,5e-07
2,Bimiralisib_0.5μM,0.51859,Bimiralisib,5e-07
3,Bimiralisib_0.5μM,0.954396,Bimiralisib,5e-07
4,Bimiralisib_0.5μM,1.302291,Bimiralisib,5e-07
5,Bimiralisib_0.5μM,0.594438,Bimiralisib,5e-07
6,Bimiralisib_0.5μM,0.967301,Bimiralisib,5e-07
7,Bimiralisib_0.5μM,2.898966,Bimiralisib,5e-07
8,Bimiralisib_0.5μM,3.016735,Bimiralisib,5e-07
9,Bimiralisib_0.5μM,1.030433,Bimiralisib,5e-07
10,Bimiralisib_0.5μM,0.332675,Bimiralisib,5e-07
11,Bimiralisib_0.5μM,0.346946,Bimiralisib,5e-07
12,Bimiralisib_0.5μM,0.518276,Bimiralisib,5e-07
13,Bimiralisib_0.5μM,0.204309,Bimiralisib,5e-07
14,Bimiralisib_1μM,0.901896,Bimiralisib,1e-06
15,Bimiralisib_1μM,1.183203,Bimiralisib,1e-06
16,Bimiralisib_1μM,0.551669,Bimiralisib,1e-06
17,Bimiralisib_1μM,0.827828,Bimiralisib,1e-06
18,Bimiralisib_1μM,0.950338,Bimiralisib,1e-06
19,Bimiralisib_1μM,0.661132,Bimiralisib,1e-06
20,Bimiralisib_1μM,0.486827,Bimiralisib,1e-06
21,Bimiralisib_1μM,1.496026,Bimiralisib,1e-06
22,Bimiralisib_1μM,1.234682,Bimiralisib,1e-06
23,Bimiralisib_1μM,0.560037,Bimiralisib,1e-06
24,Bimiralisib_1μM,0.446703,Bimiralisib,1e-06
25,Bimiralisib_1μM,0.90126,Bimiralisib,1e-06
26,Bimiralisib_1μM,0.548716,Bimiralisib,1e-06
27,Bimiralisib_1μM,0.237233,Bimiralisib,1e-06
28,Bimiralisib_2.5μM,0.974886,Bimiralisib,2.5e-06
29,Bimiralisib_2.5μM,1.253484,Bimiralisib,2.5e-06
30,Bimiralisib_2.5μM,0.901637,Bimiralisib,2.5e-06
31,Bimiralisib_2.5μM,0.756093,Bimiralisib,2.5e-06
32,Bimiralisib_2.5μM,1.098398,Bimiralisib,2.5e-06
33,Bimiralisib_2.5μM,0.959878,Bimiralisib,2.5e-06
34,Bimiralisib_2.5μM,0.307245,Bimiralisib,2.5e-06
35,Bimiralisib_2.5μM,1.339725,Bimiralisib,2.5e-06
36,Bimiralisib_2.5μM,0.832852,Bimiralisib,2.5e-06
37,Bimiralisib_2.5μM,0.584389,Bimiralisib,2.5e-06
38,Bimiralisib_2.5μM,2.329272,Bimiralisib,2.5e-06
39,Bimiralisib_2.5μM,0.35226,Bimiralisib,2.5e-06
40,Bimiralisib_2.5μM,0.511707,Bimiralisib,2.5e-06
41,Bimiralisib_2.5μM,0.319135,Bimiralisib,2.5e-06
42,Chloroquine_0.5μM,1.529896,Chloroquine,5e-07
43,Chloroquine_0.5μM,1.339592,Chloroquine,5e-07
44,Chloroquine_0.5μM,1.269757,Chloroquine,5e-07
45,Chloroquine_0.5μM,1.118961,Chloroquine,5e-07
46,Chloroquine_0.5μM,1.135506,Chloroquine,5e-07
47,Chloroquine_0.5μM,1.538415,Chloroquine,5e-07
48,Chloroquine_0.5μM,1.024451,Chloroquine,5e-07
49,Chloroquine_0.5μM,1.42565,Chloroquine,5e-07
50,Chloroquine_0.5μM,3.496429,Chloroquine,5e-07
51,Chloroquine_0.5μM,1.334362,Chloroquine,5e-07
52,Chloroquine_0.5μM,0.251886,Chloroquine,5e-07
53,Chloroquine_0.5μM,0.584603,Chloroquine,5e-07
54,Chloroquine_0.5μM,1.028955,Chloroquine,5e-07
55,Chloroquine_0.5μM,0.296917,Chloroquine,5e-07
56,Chloroquine_1μM,2.399976,Chloroquine,1e-06
57,Chloroquine_1μM,1.400257,Chloroquine,1e-06
58,Chloroquine_1μM,1.483717,Chloroquine,1e-06
59,Chloroquine_1μM,0.639248,Chloroquine,1e-06
60,Chloroquine_1μM,1.173552,Chloroquine,1e-06
61,Chloroquine_1μM,1.886254,Chloroquine,1e-06
62,Chloroquine_1μM,1.114606,Chloroquine,1e-06
63,Chloroquine_1μM,2.254809,Chloroquine,1e-06
64,Chloroquine_1μM,2.741394,Chloroquine,1e-06
65,Chloroquine_1μM,1.350377,Chloroquine,1e-06
66,Chloroquine_1μM,0.403073,Chloroquine,1e-06
67,Chloroquine_1μM,0.49872,Chloroquine,1e-06
68,Chloroquine_1μM,0.69972,Chloroquine,1e-06
69,Chloroquine_1μM,0.319843,Chloroquine,1e-06
70,Chloroquine_2.5μM,1.257019,Chloroquine,2.5e-06
71,Chloroquine_2.5μM,0.91209,Chloroquine,2.5e-06
72,Chloroquine_2.5μM,1.197891,Chloroquine,2.5e-06
73,Chloroquine_2.5μM,0.61058,Chloroquine,2.5e-06
74,Chloroquine_2.5μM,1.432749,Chloroquine,2.5e-06
75,Chloroquine_2.5μM,1.669124,Chloroquine,2.5e-06
76,Chloroquine_2.5μM,0.944073,Chloroquine,2.5e-06
77,Chloroquine_2.5μM,0.622594,Chloroquine,2.5e-06
78,Chloroquine_2.5μM,1.429721,Chloroquine,2.5e-06
79,Chloroquine_2.5μM,0.833443,Chloroquine,2.5e-06
80,Chloroquine_2.5μM,0.284044,Chloroquine,2.5e-06
81,Chloroquine_2.5μM,0.517463,Chloroquine,2.5e-06
82,Chloroquine_2.5μM,0.523728,Chloroquine,2.5e-06
83,Chloroquine_2.5μM,0.749728,Chloroquine,2.5e-06
84,Duloxetine_0.5μM,1.169562,Duloxetine,5e-07
85,Duloxetine_0.5μM,1.288243,Duloxetine,5e-07
86,Duloxetine_0.5μM,1.223988,Duloxetine,5e-07
87,Duloxetine_0.5μM,0.964218,Duloxetine,5e-07
88,Duloxetine_0.5μM,1.216067,Duloxetine,5e-07
89,Duloxetine_0.5μM,1.733175,Duloxetine,5e-07
90,Duloxetine_0.5μM,0.822903,Duloxetine,5e-07
91,Duloxetine_0.5μM,3.347481,Duloxetine,5e-07
92,Duloxetine_0.5μM,3.104237,Duloxetine,5e-07
93,Duloxetine_0.5μM,1.146522,Duloxetine,5e-07
94,Duloxetine_0.5μM,0.459779,Duloxetine,5e-07
95,Duloxetine_0.5μM,0.560347,Duloxetine,5e-07
96,Duloxetine_0.5μM,0.872175,Duloxetine,5e-07
97,Duloxetine_0.5μM,0.495293,Duloxetine,5e-07
98,Duloxetine_1μM,1.901573,Duloxetine,1e-06
99,Duloxetine_1μM,1.414522,Duloxetine,1e-06
100,Duloxetine_1μM,1.260528,Duloxetine,1e-06
101,Duloxetine_1μM,0.845659,Duloxetine,1e-06
102,Duloxetine_1μM,1.017663,Duloxetine,1e-06
103,Duloxetine_1μM,1.551107,Duloxetine,1e-06
104,Duloxetine_1μM,0.80803,Duloxetine,1e-06
105,Duloxetine_1μM,1.862029,Duloxetine,1e-06
106,Duloxetine_1μM,1.82505,Duloxetine,1e-06
107,Duloxetine_1μM,0.65759,Duloxetine,1e-06
108,Duloxetine_1μM,0.282267,Duloxetine,1e-06
109,Duloxetine_1μM,0.651569,Duloxetine,1e-06
110,Duloxetine_1μM,0.535751,Duloxetine,1e-06
111,Duloxetine_1μM,0.294244,Duloxetine,1e-06
112,Duloxetine_2.5μM,1.63157,Duloxetine,2.5e-06
113,Duloxetine_2.5μM,2.389478,Duloxetine,2.5e-06
114,Duloxetine_2.5μM,1.439884,Duloxetine,2.5e-06
115,Duloxetine_2.5μM,0.837688,Duloxetine,2.5e-06
116,Duloxetine_2.5μM,1.657397,Duloxetine,2.5e-06
117,Duloxetine_2.5μM,0.864422,Duloxetine,2.5e-06
118,Duloxetine_2.5μM,0.668206,Duloxetine,2.5e-06
119,Duloxetine_2.5μM,0.841216,Duloxetine,2.5e-06
120,Duloxetine_2.5μM,0.703602,Duloxetine,2.5e-06
121,Duloxetine_2.5μM,1.036593,Duloxetine,2.5e-06
122,Duloxetine_2.5μM,7.625222,Duloxetine,2.5e-06
123,Duloxetine_2.5μM,0.767012,Duloxetine,2.5e-06
124,Duloxetine_2.5μM,1.50428,Duloxetine,2.5e-06
125,Duloxetine_2.5μM,4.001695,Duloxetine,2.5e-06
126,Entinostat_0.5μM,1.100303,Entinostat,5e-07
127,Entinostat_0.5μM,1.149248,Entinostat,5e-07
128,Entinostat_0.5μM,0.892356,Entinostat,5e-07
129,Entinostat_0.5μM,1.088071,Entinostat,5e-07
130,Entinostat_0.5μM,0.995256,Entinostat,5e-07
131,Entinostat_0.5μM,1.174488,Entinostat,5e-07
132,Entinostat_0.5μM,0.781856,Entinostat,5e-07
133,Entinostat_0.5μM,1.470527,Entinostat,5e-07
134,Entinostat_0.5μM,1.983945,Entinostat,5e-07
135,Entinostat_0.5μM,1.852147,Entinostat,5e-07
136,Entinostat_0.5μM,0.288542,Entinostat,5e-07
137,Entinostat_0.5μM,0.649472,Entinostat,5e-07
138,Entinostat_0.5μM,0.701396,Entinostat,5e-07
139,Entinostat_0.5μM,0.237587,Entinostat,5e-07
140,Entinostat_1μM,2.323844,Entinostat,1e-06
141,Entinostat_1μM,1.044822,Entinostat,1e-06
142,Entinostat_1μM,0.971377,Entinostat,1e-06
143,Entinostat_1μM,0.572277,Entinostat,1e-06
144,Entinostat_1μM,0.976777,Entinostat,1e-06
145,Entinostat_1μM,1.383415,Entinostat,1e-06
146,Entinostat_1μM,0.693838,Entinostat,1e-06
147,Entinostat_1μM,0.800492,Entinostat,1e-06
148,Entinostat_1μM,1.588983,Entinostat,1e-06
149,Entinostat_1μM,0.910546,Entinostat,1e-06
150,Entinostat_1μM,0.235364,Entinostat,1e-06
151,Entinostat_1μM,0.53369,Entinostat,1e-06
152,Entinostat_1μM,0.55877,Entinostat,1e-06
153,Entinostat_1μM,1.927133,Entinostat,1e-06
154,Entinostat_2.5μM,1.236731,Entinostat,2.5e-06
155,Entinostat_2.5μM,0.958399,Entinostat,2.5e-06
156,Entinostat_2.5μM,1.297989,Entinostat,2.5e-06
157,Entinostat_2.5μM,0.690009,Entinostat,2.5e-06
158,Entinostat_2.5μM,1.330904,Entinostat,2.5e-06
159,Entinostat_2.5μM,1.007506,Entinostat,2.5e-06
160,Entinostat_2.5μM,0.756265,Entinostat,2.5e-06
