,Condition,Values
0,GC_0,0.717883
1,GC_0,0.739186
2,GC_0,0.768308
3,GC_0,0.885582
4,GC_0,1.148214
5,GC_0,0.993813
6,GC_0,1.002103
7,GC_0,1.049551
8,GC_0,0.916756
9,GC_0,1.142612
10,GC_0,0.759038
11,GC_0,0.738744
12,GC_0,0.694257
13,GC_0,0.656548
14,GC_0,0.737124
15,GC NAC_0,2.124853
16,GC NAC_0,3.277141
17,GC NAC_0,3.204825
18,GC NAC_0,3.192948
19,GC NAC_0,5.059714
20,GC NAC_0,3.622706
21,GC NAC_0,2.554872
22,GC NAC_0,4.138366
23,GC NAC_0,3.377574
30,GC PYO_0,0.324388
31,GC PYO_0,0.393248
32,GC PYO_0,0.426324
33,GC PYO_0,0.54029
34,GC PYO_0,0.419768
35,GC PYO_0,0.463227
36,GC PYO_0,0.4329
37,GC PYO_0,0.405331
38,GC PYO_0,0.455912
45,TRPL_0,0.860634
46,TRPL_0,0.987085
47,TRPL_0,1.033832
48,TRPL_0,1.116806
49,TRPL_0,1.001642
50,TRPL_0,0.83227
51,TRPL_0,1.081188
52,TRPL_0,0.979813
53,TRPL_0,0.988508
54,TRPL_0,1.118221
55,TRPL_0,1.014899
56,TRPL_0,0.962521
57,TRPL_0,1.05404
58,TRPL_0,0.946908
59,TRPL_0,1.021632
60,TRPL NAC_0,6.957964
61,TRPL NAC_0,6.971092
62,TRPL NAC_0,7.220481
63,TRPL NAC_0,6.654768
64,TRPL NAC_0,8.839199
65,TRPL NAC_0,7.745711
66,TRPL NAC_0,5.180495
67,TRPL NAC_0,7.584165
68,TRPL NAC_0,9.147336
75,TRPL PYO_0,0.272206
76,TRPL PYO_0,0.305137
77,TRPL PYO_0,0.230171
78,TRPL PYO_0,0.293793
79,TRPL PYO_0,0.303893
80,TRPL PYO_0,0.378826
81,TRPL PYO_0,0.282371
82,TRPL PYO_0,0.264032
83,TRPL PYO_0,0.235848
90,A9_2.5,0.498396
91,A9_2.5,0.472314
92,A9_2.5,0.679739
93,A9_2.5,0.542751
94,A9_2.5,0.44524
95,A9_2.5,0.499217
96,A9_2.5,0.55661
97,A9_2.5,0.554866
98,A9_2.5,0.595685
99,A9_2.5,0.522098
100,A9_2.5,0.361788
101,A9_2.5,0.534516
105,A9_1,0.732147
106,A9_1,0.680334
107,A9_1,0.695234
108,A9_1,0.693917
109,A9_1,0.589622
110,A9_1,0.68453
111,A9_1,0.575046
112,A9_1,0.678956
113,A9_1,0.550064
114,A9_1,0.627151
115,A9_1,0.548469
116,A9_1,0.526542
120,A9_0.5,0.694148
121,A9_0.5,0.735373
122,A9_0.5,0.715139
123,A9_0.5,0.705797
124,A9_0.5,0.811444
125,A9_0.5,0.898247
126,A9_0.5,0.780361
127,A9_0.5,0.737327
128,A9_0.5,0.596663
129,A9_0.5,0.753014
130,A9_0.5,0.616725
131,A9_0.5,0.77046
135,AG1012_2.5,0.735834
136,AG1012_2.5,0.788804
137,AG1012_2.5,0.841435
138,AG1012_2.5,0.835757
139,AG1012_2.5,0.94117
140,AG1012_2.5,0.852572
141,AG1012_2.5,0.971622
142,AG1012_2.5,0.916162
143,AG1012_2.5,0.658907
144,AG1012_2.5,0.746511
145,AG1012_2.5,0.871032
146,AG1012_2.5,0.744239
