,Condition,Values
0,GC_0,1.099939
1,GC_0,0.844524
2,GC_0,0.993512
3,GC_0,0.861924
4,GC_0,0.978893
5,GC_0,1.056973
6,GC_0,0.923805
7,GC_0,1.24043
8,GC_0,1.029807
9,GC_0,0.81908
10,GC_0,1.092008
11,GC_0,1.138746
12,GC_0,1.11982
13,GC_0,0.936809
14,GC_0,0.832634
15,GC_0,1.031096
16,GC_0,1.00078
17,GC_0,1.058844
18,GC_0,0.948391
19,GC_0,0.99851
20,GC_0,0.959737
21,GC_0,1.031475
22,GC_0,0.958709
23,GC_0,1.043553
24,GC+VAL_0,0.096368
25,GC+VAL_0,0.140742
26,GC+VAL_0,0.175184
27,GC+VAL_0,0.075267
28,GC+VAL_0,0.14761
29,GC+VAL_0,0.110019
30,GC+VAL_0,0.085055
31,GC+VAL_0,0.138629
32,GC+VAL_0,0.11411
48,TRPL_0,1.009458
49,TRPL_0,0.959689
50,TRPL_0,0.713451
51,TRPL_0,0.689514
52,TRPL_0,0.863941
53,TRPL_0,0.929658
54,TRPL_0,0.749055
55,TRPL_0,1.11667
56,TRPL_0,0.866208
57,TRPL_0,0.840177
58,TRPL_0,1.050336
59,TRPL_0,1.02976
60,TRPL_0,0.889402
61,TRPL_0,1.032787
62,TRPL_0,0.947628
63,TRPL_0,1.009159
64,TRPL_0,0.886542
65,TRPL_0,0.974343
66,TRPL_0,1.040521
67,TRPL_0,0.818076
68,TRPL_0,1.003793
69,TRPL_0,0.773385
70,TRPL_0,1.049522
71,TRPL_0,0.96968
72,TRPL+VAL_0,0.135862
73,TRPL+VAL_0,0.085327
74,TRPL+VAL_0,0.100105
75,TRPL+VAL_0,0.125536
76,TRPL+VAL_0,0.125862
77,TRPL+VAL_0,0.161257
78,TRPL+VAL_0,0.086978
79,TRPL+VAL_0,0.094791
80,TRPL+VAL_0,0.078696
97,A9_2.5,0.245053
98,A9_2.5,0.140618
99,A9_2.5,0.135854
100,A9_2.5,0.145413
101,A9_2.5,0.189223
102,A9_2.5,0.193441
103,A9_2.5,0.217695
104,A9_2.5,0.159687
105,A9_2.5,0.206332
106,A9_2.5,0.218841
107,A9_2.5,0.171504
108,A9_2.5,0.142123
120,A9_1,0.196325
121,A9_1,0.186021
122,A9_1,0.236129
123,A9_1,0.224528
124,A9_1,0.158382
125,A9_1,0.15929
126,A9_1,0.14895
127,A9_1,0.189402
128,A9_1,0.139908
129,A9_1,0.133914
130,A9_1,0.144822
131,A9_1,0.114545
145,A9_0.5,0.333181
146,A9_0.5,0.226895
147,A9_0.5,0.241957
148,A9_0.5,0.45598
149,A9_0.5,0.291597
150,A9_0.5,0.310459
151,A9_0.5,0.250062
152,A9_0.5,0.318342
153,A9_0.5,0.226696
154,A9_0.5,0.252545
155,A9_0.5,0.240647
156,A9_0.5,0.316906
168,AG1012_2.5,0.752436
169,AG1012_2.5,0.702073
170,AG1012_2.5,0.633274
171,AG1012_2.5,0.606502
172,AG1012_2.5,0.917269
173,AG1012_2.5,0.756498
174,AG1012_2.5,0.609954
175,AG1012_2.5,0.739297
176,AG1012_2.5,0.708295
177,AG1012_2.5,0.647523
178,AG1012_2.5,0.727204
179,AG1012_2.5,0.670192
192,AG1012_1,0.746375
193,AG1012_1,0.931926
194,AG1012_1,0.917535
195,AG1012_1,0.783064
196,AG1012_1,0.982493
197,AG1012_1,0.856905
198,AG1012_1,0.941384
199,AG1012_1,0.83992
200,AG1012_1,0.139908
201,AG1012_1,0.133914
202,AG1012_1,0.144822
203,AG1012_1,0.114545
216,AG1012_0.5,0.927702
217,AG1012_0.5,0.77366
218,AG1012_0.5,0.741712
219,AG1012_0.5,0.813078
220,AG1012_0.5,0.832299
221,AG1012_0.5,0.544132
222,AG1012_0.5,0.75953
223,AG1012_0.5,0.66474
224,AG1012_0.5,0.226696
225,AG1012_0.5,0.252545
226,AG1012_0.5,0.240647
227,AG1012_0.5,0.316906
240,AG529_2.5,0.840156
241,AG529_2.5,0.915453
242,AG529_2.5,0.715666
243,AG529_2.5,0.685091
244,AG529_2.5,0.837969
245,AG529_2.5,0.837254
246,AG529_2.5,0.848171
247,AG529_2.5,0.832394
248,AG529_2.5,0.9789
249,AG529_2.5,0.957
250,AG529_2.5,1.108927
251,AG529_2.5,1.099571
264,AG529_1,0.696691
265,AG529_1,0.920501
266,AG529_1,0.962327
267,AG529_1,0.864278
268,AG529_1,0.792038
269,AG529_1,0.876443
270,AG529_1,0.794768
