,Condition,Values
0,GC_0,0.93521
1,GC_0,0.920829
2,GC_0,1.000281
3,GC_0,0.999372
4,GC_0,1.490069
5,GC_0,1.170871
7,GC_0,1.206204
8,GC_0,1.295113
9,GC_0,1.640529
10,GC_0,0.924669
11,GC_0,1.144694
12,GC_0,1.153743
13,GC_0,1.13331
14,GC_0,1.229526
15,GC NAC_0,0.43365
16,GC NAC_0,0.687871
17,GC NAC_0,0.45234
18,GC NAC_0,0.637834
19,GC NAC_0,0.990722
20,GC NAC_0,0.637558
21,GC NAC_0,0.616965
22,GC NAC_0,0.993385
23,GC NAC_0,0.719718
30,GC PYO_0,6.456605
31,GC PYO_0,9.647338
32,GC PYO_0,9.55172
33,GC PYO_0,14.49831
34,GC PYO_0,12.81021
35,GC PYO_0,11.03221
36,GC PYO_0,11.1034
37,GC PYO_0,12.96199
38,GC PYO_0,16.7305
45,TRPL_0,1.016063
46,TRPL_0,0.946813
47,TRPL_0,1.08293
48,TRPL_0,1.038253
49,TRPL_0,0.91594
50,TRPL_0,0.835098
51,TRPL_0,1.035834
52,TRPL_0,0.88224
53,TRPL_0,1.210048
54,TRPL_0,1.03678
55,TRPL_0,0.889964
56,TRPL_0,0.986632
57,TRPL_0,1.051382
58,TRPL_0,1.008089
59,TRPL_0,1.063933
60,TRPL NAC_0,0.548148
61,TRPL NAC_0,0.523319
62,TRPL NAC_0,0.527782
63,TRPL NAC_0,0.280084
64,TRPL NAC_0,0.336807
65,TRPL NAC_0,0.402606
66,TRPL NAC_0,0.368888
67,TRPL NAC_0,0.595707
68,TRPL NAC_0,0.66256
75,TRPL PYO_0,26.98558
76,TRPL PYO_0,26.77757
77,TRPL PYO_0,29.2506
78,TRPL PYO_0,31.82229
79,TRPL PYO_0,32.42436
80,TRPL PYO_0,28.99422
81,TRPL PYO_0,27.30872
82,TRPL PYO_0,29.60161
83,TRPL PYO_0,34.48285
90,A9_2.5,1.068156
91,A9_2.5,0.717964
92,A9_2.5,0.928085
93,A9_2.5,0.96128
94,A9_2.5,0.499342
95,A9_2.5,0.934659
96,A9_2.5,0.771724
97,A9_2.5,0.788285
98,A9_2.5,1.090748
99,A9_2.5,0.776805
100,A9_2.5,0.851401
101,A9_2.5,0.694833
105,A9_1,0.840507
106,A9_1,0.701973
107,A9_1,0.784274
108,A9_1,0.695101
109,A9_1,0.495067
110,A9_1,0.528128
111,A9_1,0.651073
112,A9_1,0.398962
113,A9_1,0.551053
114,A9_1,0.491631
115,A9_1,0.55091
116,A9_1,0.472068
120,A9_0.5,0.796898
121,A9_0.5,0.910182
122,A9_0.5,0.92951
123,A9_0.5,0.885748
124,A9_0.5,0.612643
125,A9_0.5,0.616378
126,A9_0.5,0.6751
127,A9_0.5,0.859363
128,A9_0.5,0.691047
129,A9_0.5,0.777971
130,A9_0.5,0.61852
131,A9_0.5,0.9038
135,AG1012_2.5,0.911624
136,AG1012_2.5,1.007459
137,AG1012_2.5,0.953149
138,AG1012_2.5,0.940903
139,AG1012_2.5,1.016689
140,AG1012_2.5,0.989494
141,AG1012_2.5,1.085758
142,AG1012_2.5,0.865719
143,AG1012_2.5,0.838285
144,AG1012_2.5,1.020168
145,AG1012_2.5,1.032061
146,AG1012_2.5,0.920651
150,AG1012_1,0.910424
151,AG1012_1,0.956703
152,AG1012_1,0.931446
153,AG1012_1,1.027709
154,AG1012_1,1.048716
155,AG1012_1,1.128392
156,AG1012_1,1.227609
157,AG1012_1,0.946652
158,AG1012_1,1.145069
159,AG1012_1,1.084092
160,AG1012_1,1.221555
161,AG1012_1,1.038507
165,AG1012_0.5,0.9232
166,AG1012_0.5,0.903549
167,AG1012_0.5,1.218748
168,AG1012_0.5,1.218748
169,AG1012_0.5,1.0818
170,AG1012_0.5,1.274477
171,AG1012_0.5,1.242382
172,AG1012_0.5,1.300677
173,AG1012_0.5,0.985183
174,AG1012_0.5,1.411657
175,AG1012_0.5,1.265343
176,AG1012_0.5,1.181348
180,AG529_2.5,0.91753
181,AG529_2.5,1.061339
182,AG529_2.5,1.082353
183,AG529_2.5,1.113628
184,AG529_2.5,1.28225
185,AG529_2.5,1.254518
186,AG529_2.5,1.295975
187,AG529_2.5,1.216629
188,AG529_2.5,1.288543
189,AG529_2.5,1.397634
190,AG529_2.5,1.292256
191,AG529_2.5,1.553273
195,AG529_1,1.093808
196,AG529_1,1.063046
197,AG529_1,1.220415
198,AG529_1,1.162398
199,AG529_1,1.249887
200,AG529_1,0.944385
201,AG529_1,1.187152
202,AG529_1,1.343855
203,AG529_1,1.044538
204,AG529_1,0.986641
205,AG529_1,1.061698
206,AG529_1,0.8053
210,AG529_0.5,1.056442
211,AG529_0.5,1.083218
212,AG529_0.5,1.056361
213,AG529_0.5,1.208627
214,AG529_0.5,1.214976
215,AG529_0.5,1.115005
216,AG529_0.5,1.279775
217,AG529_0.5,1.59922
218,AG529_0.5,1.179273
219,AG529_0.5,1.372495
220,AG529_0.5,1.33639
221,AG529_0.5,1.062726
225,C19_2.5,0.841481
226,C19_2.5,1.153705
227,C19_2.5,1.021659
228,C19_2.5,0.986075
229,C19_2.5,1.004712
230,C19_2.5,1.082987
231,C19_2.5,1.161178
232,C19_2.5,1.086946
233,C19_2.5,0.855691
234,C19_2.5,0.789407
235,C19_2.5,1.006501
