Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz)
A1,Tripli DMSO,0.00E+00,0.000625
A2,Tripli DMSO,0.00E+00,0
A3,Tripli DMSO,0.00E+00,0
A4,Tripli DMSO,0.00E+00,0
A5,Tripli DMSO,0.00E+00,0.025
A6,Tripli DMSO,0.00E+00,0
A7,Tripli DMSO,0.00E+00,0
A8,Tripli DMSO,0.00E+00,0.000208
B1,Tripli DMSO,0.00E+00,0
B2,Tripli DMSO,0.00E+00,0.000104
B3,Tripli DMSO,0.00E+00,0.008125
B4,Tripli DMSO,0.00E+00,0
B5,Tripli DMSO,0.00E+00,0
B6,Tripli DMSO,0.00E+00,0
B7,Tripli DMSO,0.00E+00,0
B8,Tripli DMSO,0.00E+00,0.000521
C1,Tripli DMSO,0.00E+00,0.03375
C2,Tripli DMSO,0.00E+00,0.037604
C3,Tripli DMSO,0.00E+00,0.000104
C4,Tripli DMSO,0.00E+00,0.000208
C5,Tripli DMSO,0.00E+00,0
C6,Tripli DMSO,0.00E+00,0.036771
C7,Tripli DMSO,0.00E+00,0
C8,Tripli DMSO,0.00E+00,0
D1,WT DMSO,0.00E+00,0
D2,WT DMSO,0.00E+00,0.133542
D3,WT DMSO,0.00E+00,0.09375
D4,WT DMSO,0.00E+00,0.088854
D5,WT DMSO,0.00E+00,0.051042
D6,WT DMSO,0.00E+00,0.047708
D7,WT DMSO,0.00E+00,0.102292
D8,WT DMSO,0.00E+00,0.001667
E1,WT DMSO,0.00E+00,0.127292
E2,WT DMSO,0.00E+00,0
E3,WT DMSO,0.00E+00,0.000417
E4,WT DMSO,0.00E+00,0.148854
E5,WT DMSO,0.00E+00,0
E6,WT DMSO,0.00E+00,0.000417
E7,WT DMSO,0.00E+00,0.017813
E8,WT DMSO,0.00E+00,0.03625
F1,WT DMSO,0.00E+00,0
F2,WT DMSO,0.00E+00,0.141875
F3,WT DMSO,0.00E+00,0.001875
F4,WT DMSO,0.00E+00,0.001042
F5,WT DMSO,0.00E+00,0.001562
F6,WT DMSO,0.00E+00,0.214375
F7,WT DMSO,0.00E+00,0
F8,WT DMSO,0.00E+00,0
A1,Tripli Tyr9,0.5,0
A2,Tripli TIC10,0.5,0
A3,Tripli DMSO,0.5,0
A4,Tripli Tyr9,0.5,0
A5,Tripli TIC10,0.5,0.000209
A6,Tripli DMSO,0.5,0.000104
A7,Tripli Tyr9,0.5,0
A8,Tripli TIC10,0.5,0.000104
B1,Tripli Tyr9,0.5,0
B2,Tripli TIC10,0.5,0
B3,Tripli DMSO,0.5,0
B4,Tripli Tyr9,0.5,0
B5,Tripli TIC10,0.5,0
B6,Tripli DMSO,0.5,0
B7,Tripli Tyr9,0.5,0
B8,Tripli TIC10,0.5,0
C1,Tripli Tyr9,0.5,0
C2,Tripli TIC10,0.5,0.004483
C3,Tripli DMSO,0.5,0
C4,Tripli Tyr9,0.5,0
C5,Tripli TIC10,0.5,0
C6,Tripli DMSO,0.5,0
C7,Tripli Tyr9,0.5,0
C8,Tripli TIC10,0.5,0.120413
D1,WT Tyr9,0.5,0.021268
D2,WT TIC10,0.5,0
D3,WT DMSO,0.5,0.000104
D4,WT Tyr9,0.5,0
D5,WT TIC10,0.5,0.000209
D6,WT DMSO,0.5,0
D7,WT Tyr9,0.5,0.000417
D8,WT TIC10,0.5,0
E1,WT Tyr9,0.5,0
E2,WT TIC10,0.5,0
