Condition,Values,Replicate
GC,58.02481,Rep3
GC,60.92102,Rep3
GC,43.65862,Rep2
GC,38.41517,Rep2
GC,51.51925,Rep1
GC,58.98448,Rep1
TRPL,27.84921,Rep3
TRPL,20.82376,Rep3
TRPL,30.17391,Rep2
TRPL,19.82418,Rep2
TRPL,27.42363,Rep1
TRPL,45.95947,Rep1
T1,41.19208,Rep3
T1,31.80777,Rep3
T1,29.42959,Rep2
T1,21.41857,Rep2
T1,15.29831,Rep1
T1,17.62015,Rep1
T2,0.239934,Rep3
T2,40.87672,Rep3
T2,59.54322,Rep2
T2,47.40518,Rep2
T2,42.74254,Rep1
T2,40.19999,Rep1
T3,60.3296,Rep3
T3,36.24488,Rep3
T3,60.97567,Rep2
T3,62.37981,Rep2
T3,53.13996,Rep1
T3,57.40892,Rep1
T4,74.925,Rep3
T4,63.62957,Rep3
T4,62.08531,Rep2
T4,60.73143,Rep2
T4,49.38663,Rep1
T4,46.88065,Rep1
T5,37.73292,Rep3
T5,30.22128,Rep3
T5,34.547,Rep2
T5,28.84028,Rep2
T5,30.77624,Rep1
T5,21.50761,Rep1
T6,51.62967,Rep3
T6,45.86008,Rep3
T6,71.5669,Rep2
T6,56.27419,Rep2
T6,53.21033,Rep1
T6,49.02277,Rep1
