,Condition,Values
0,GC_0,10.91582
1,GC_0,4.625347
2,GC_0,11.28585
3,GC_0,11.10083
4,GC_0,11.65587
5,GC_0,11.65587
6,GC_0,11.47086
7,GC_0,11.47086
8,GC_0,11.28585
9,GC_0,10.24429
10,GC_0,10.5595
11,GC_0,9.29866
12,GC_0,10.40189
13,GC_0,11.50512
14,GC_0,10.7171
15,GC_0,9.929078
16,GC_0,10.24429
17,GC_0,9.771474
18,GC_0,8.682635
19,GC_0,9.88024
20,GC_0,8.832335
21,GC_0,8.083832
22,GC_0,9.580838
23,GC_0,8.682635
24,GC_0,9.281437
25,GC_0,8.383234
30,Trpl_0,11.47086
31,Trpl_0,11.84089
32,Trpl_0,11.47086
33,Trpl_0,12.21092
34,Trpl_0,11.65587
35,Trpl_0,11.28585
36,Trpl_0,12.58094
37,Trpl_0,11.65587
39,Trpl_0,8.825847
40,Trpl_0,8.825847
41,Trpl_0,8.983452
42,Trpl_0,9.613869
43,Trpl_0,8.983452
44,Trpl_0,9.613869
45,Trpl_0,9.613869
46,Trpl_0,9.456265
48,Trpl_0,9.88024
49,Trpl_0,9.431138
50,Trpl_0,10.17964
51,Trpl_0,9.431138
52,Trpl_0,10.17964
53,Trpl_0,10.92814
54,Trpl_0,10.32934
55,Trpl_0,9.730539
60,T1_2.5 ,13.69103
61,T1_2.5 ,13.69103
62,T1_2.5 ,12.21092
63,T1_2.5 ,16.28122
69,T1_2.5 ,10.8747
70,T1_2.5 ,8.668243
71,T1_2.5 ,9.613869
72,T1_2.5 ,10.08668
78,T1_2.5 ,10.92814
79,T1_2.5 ,11.67665
80,T1_2.5 ,11.07784
81,T1_2.5 ,12.57485
90,T1_1 ,14.43108
91,T1_1 ,14.24607
92,T1_1 ,15.35615
93,T1_1 ,14.98612
99,T1_1 ,9.771474
100,T1_1 ,11.03231
101,T1_1 ,11.34752
102,T1_1 ,11.03231
108,T1_1 ,11.52695
109,T1_1 ,13.32335
110,T1_1 ,13.32335
111,T1_1 ,11.52695
120,T1_0.5 ,13.50601
121,T1_0.5 ,12.39593
122,T1_0.5 ,14.24607
123,T1_0.5 ,15.72618
129,T1_0.5 ,11.34752
130,T1_0.5 ,9.456265
131,T1_0.5 ,11.03231
132,T1_0.5 ,11.82033
138,T1_0.5 ,11.37725
139,T1_0.5 ,10.77844
140,T1_0.5 ,11.07784
141,T1_0.5 ,11.67665
150,T2_2.5 ,12.95097
151,T2_2.5 ,13.321
152,T2_2.5 ,13.50601
153,T2_2.5 ,13.321
159,T2_2.5 ,11.50512
160,T2_2.5 ,11.03231
161,T2_2.5 ,10.8747
162,T2_2.5 ,11.03231
168,T2_2.5 ,10.92814
169,T2_2.5 ,9.431138
170,T2_2.5 ,10.32934
171,T2_2.5 ,10.47904
180,T2_1 ,13.50601
181,T2_1 ,12.95097
182,T2_1 ,13.13599
183,T2_1 ,12.21092
189,T2_1 ,10.8747
190,T2_1 ,10.7171
191,T2_1 ,10.8747
192,T2_1 ,11.82033
198,T2_1 ,10.02994
199,T2_1 ,11.67665
200,T2_1 ,8.982036
201,T2_1 ,9.431138
210,T2_0.5 ,12.39593
211,T2_0.5 ,11.65587
212,T2_0.5 ,12.58094
213,T2_0.5 ,13.13599
219,T2_0.5 ,11.34752
220,T2_0.5 ,9.771474
221,T2_0.5 ,10.8747
222,T2_0.5 ,10.5595
228,T2_0.5 ,10.02994
229,T2_0.5 ,8.383234
231,T2_0.5 ,10.17964
240,T3_2.5 ,11.84089
241,T3_2.5 ,10.54579
242,T3_2.5 ,10.7308
243,T3_2.5 ,9.990749
249,T3_2.5 ,10.24429
250,T3_2.5 ,9.613869
251,T3_2.5 ,10.08668
252,T3_2.5 ,9.771474
258,T3_2.5 ,9.580838
259,T3_2.5 ,8.832335
260,T3_2.5 ,9.131737
261,T3_2.5 ,9.730539
270,T3_1 ,10.36078
271,T3_1 ,11.65587
272,T3_1 ,12.0259
273,T3_1 ,11.84089
279,T3_1 ,10.5595
280,T3_1 ,10.5595
281,T3_1 ,10.40189
282,T3_1 ,10.24429
288,T3_1 ,9.88024
289,T3_1 ,10.02994
290,T3_1 ,9.431138
291,T3_1 ,9.580838
300,T3_0.5 ,11.84089
301,T3_0.5 ,11.47086
302,T3_0.5 ,11.84089
303,T3_0.5 ,12.58094
309,T3_0.5 ,9.141056
310,T3_0.5 ,7.722616
311,T3_0.5 ,8.510638
312,T3_0.5 ,7.880221
318,T3_0.5 ,9.580838
320,T3_0.5 ,9.580838
321,T3_0.5 ,8.982036
330,T4_2.5 ,11.10083
331,T4_2.5 ,10.91582
332,T4_2.5 ,12.39593
333,T4_2.5 ,12.0259
339,T4_2.5 ,9.929078
340,T4_2.5 ,10.24429
341,T4_2.5 ,9.456265
342,T4_2.5 ,9.613869
348,T4_2.5 ,9.431138
349,T4_2.5 ,8.832335
350,T4_2.5 ,8.832335
351,T4_2.5 ,10.17964
360,T4_1 ,12.58094
361,T4_1 ,11.65587
362,T4_1 ,11.65587
363,T4_1 ,11.28585
369,T4_1 ,9.456265
370,T4_1 ,8.983452
