GC,Trpl.,T1 2.5 uM,T1 1 uM,T1 0.5 uM,T2 2.5 uM,T2 1 uM,T2 0.5 uM,T3 2.5 uM,T3 1 uM,T3 0.5 uM,T4 2.5 uM,T4 1 uM,T4 0.5 uM,T5 2.5 uM,T5 1 uM,T5 0.5 uM,T6 2.5 uM,T6 1 uM,T6 0.5 uM,Positive Control
10.91582,11.47086,13.69103,14.43108,13.50601,12.95097,13.50601,12.39593,11.84089,10.36078,11.84089,11.10083,12.58094,11.65587,11.47086,12.39593,12.21092,12.58094,11.47086,11.10083,64.56984
4.625347,11.84089,13.69103,14.24607,12.39593,13.321,12.95097,11.65587,10.54579,11.65587,11.47086,10.91582,11.65587,11.10083,12.58094,12.39593,10.17576,12.0259,11.10083,9.435708,135.4302
11.28585,11.47086,12.21092,15.35615,14.24607,13.50601,13.13599,12.58094,10.7308,12.0259,11.84089,12.39593,11.65587,12.0259,11.47086,12.0259,12.21092,12.21092,11.28585,11.28585,103.2309
11.10083,12.21092,16.28122,14.98612,15.72618,13.321,12.21092,13.13599,9.990749,11.84089,12.58094,12.0259,11.28585,11.65587,12.0259,11.47086,12.21092,10.91582,10.7308,11.28585,96.76911
11.65587,11.65587,,,,,,,,,,,,,,,,,,,80.83832
11.65587,11.28585,,,,,,,,,,,,,,,,,,,119.1617
11.47086,12.58094,,,,,,,,,,,,,,,,,,,
11.47086,11.65587,,,,,,,,,,,,,,,,,,,
11.28585,,,,,,,,,,,,,,,,,,,,
10.24429,8.825847,10.8747,9.771474,11.34752,11.50512,10.8747,11.34752,10.24429,10.5595,9.141056,9.929078,9.456265,9.771474,10.24429,11.50512,10.08668,10.5595,10.5595,10.24429,
10.5595,8.825847,8.668243,11.03231,9.456265,11.03231,10.7171,9.771474,9.613869,10.5595,7.722616,10.24429,8.983452,7.722616,10.8747,10.08668,8.983452,9.771474,10.08668,9.929078,
9.29866,8.983452,9.613869,11.34752,11.03231,10.8747,10.8747,10.8747,10.08668,10.40189,8.510638,9.456265,10.08668,9.141056,10.5595,10.40189,10.08668,8.353034,9.613869,9.456265,
10.40189,9.613869,10.08668,11.03231,11.82033,11.03231,11.82033,10.5595,9.771474,10.24429,7.880221,9.613869,9.771474,9.771474,11.03231,10.5595,11.03231,10.40189,9.771474,8.668243,
11.50512,8.983452,,,,,,,,,,,,,,,,,,,
10.7171,9.613869,,,,,,,,,,,,,,,,,,,
9.929078,9.613869,,,,,,,,,,,,,,,,,,,
10.24429,9.456265,,,,,,,,,,,,,,,,,,,
9.771474,,,,,,,,,,,,,,,,,,,,
8.682635,9.88024,10.92814,11.52695,11.37725,10.92814,10.02994,10.02994,9.580838,9.88024,9.580838,9.431138,10.17964,9.131737,9.730539,10.92814,9.88024,10.32934,9.281437,10.32934,
9.88024,9.431138,11.67665,13.32335,10.77844,9.431138,11.67665,8.383234,8.832335,10.02994,,8.832335,9.730539,,9.580838,9.730539,,,8.682635,,
8.832335,10.17964,11.07784,13.32335,11.07784,10.32934,8.982036,,9.131737,9.431138,9.580838,8.832335,9.281437,9.580838,10.32934,10.32934,9.88024,8.982036,9.281437,8.832335,
8.083832,9.431138,12.57485,11.52695,11.67665,10.47904,9.431138,10.17964,9.730539,9.580838,8.982036,10.17964,8.682635,9.131737,10.02994,9.431138,10.02994,9.431138,8.982036,10.62874,
9.580838,10.17964,,,,,,,,,,,,,,,,,,,
8.682635,10.92814,,,,,,,,,,,,,,,,,,,
9.281437,10.32934,,,,,,,,,,,,,,,,,,,
8.383234,9.730539,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
