GC_0,GC NAC_0,GC PYO_0,TRPL_0,TRPL NAC_0,TRPL PYO_0,A9_2.5,A9_1,A9_0.5,AG1012_2.5,AG1012_1,AG1012_0.5,AG529_2.5,AG529_1,AG529_0.5,C19_2.5,C19_1,C19_0.5,AG879_2.5,AG879_1,AG879_0.5,EN300_2.5,EN300_1,EN300_0.5
0.717883,2.124853*,0.324388,0.860634,6.957964*,0.272206,0.498396,0.732147,0.694148,0.735834,0.916883,0.916709,0.715224,0.849003,1.014557,0.776916,1.015782,0.966738,0.57828,0.869087,0.84969,0.795637,0.677586,0.827743
0.739186,3.277141*,0.393248,0.987085,6.971092*,0.305137,0.472314,0.680334,0.735373,0.788804,0.977067,0.765858,1.060402,0.899336,1.113881,1.063156,0.982593,0.971607,0.643451,0.841261,0.953331,0.606697,0.766303,0.871817
0.768308,3.204825*,0.426324,1.033832,7.220481*,0.230171,0.679739,0.695234,0.715139,0.841435,0.967447,0.947167,0.95959,1.108893,0.980311,0.955081,0.956214,0.96302,0.743069,0.926435,0.888885,1.10216,0.805983,0.813288
0.885582,3.192948*,0.54029,1.116806,6.654768*,0.293793,0.542751,0.693917,0.705797,0.835757,0.947395,0.829144,1.189448,1.157786,0.89489,1.01132,0.985291,0.941892,0.675804,0.865397,0.826498,0.702039,0.674194,0.740697
1.148214,5.059714*,0.419768,1.001642,8.839199*,0.303893,0.44524,0.589622,0.811444,0.94117,0.989199,1.174581,1.207675,1.046186,1.285172,0.966554,1.013268,1.236276,0.68234,0.879496,1.008404,0.867795,0.851925,1.157023
0.993813,3.622706*,0.463227,0.83227,7.745711*,0.378826,0.499217,0.68453,0.898247,0.852572,1.298315,1.16356,0.963315,1.191107,1.177697,1.052128,1.216635,1.205626,0.633265,0.845714,0.955431,0.91684,1.170259,0.979675
1.002103,2.554872*,0.4329,1.081188,5.180495*,0.282371,0.55661,0.575046,0.780361,0.971622,1.195915,1.057946,1.037248,1.395745,1.232434,1.025731,1.197679,1.257034,0.649115,0.959323,1.021188,0.99167,1.105175,1.089509
1.049551,4.138366*,0.405331,0.979813,7.584165*,0.264032,0.554866,0.678956,0.737327,0.916162,0.989645,0.975003,1.340711,1.208977,1.001995,1.095006,1.095402,1.174188,0.816332,0.962373,0.85538,0.950651,1.122738,0.949254
0.916756,3.377574*,0.455912,0.988508,9.147336*,0.235848,0.595685,0.550064,0.596663,0.658907,1.002211,0.82922,0.887001,0.817265,1.020164,0.801063,0.744773,0.89269,0.456425,0.847977,0.687767,0.730436,0.822973,0.896338
1.142612,,,1.118221,,,0.522098,0.627151,0.753014,0.746511,0.877196,1.015055,0.884149,0.991687,1.181425,0.770842,0.897274,0.992366,0.540306,0.674161,0.985853,0.858964,0.888816,0.882862
0.759038,,,1.014899,,,0.361788,0.548469,0.616725,0.871032,0.926731,0.995655,0.874718,0.934491,0.990297,0.940011,0.859365,0.963424,0.605391,0.788714,0.879846,1.02399,0.949762,0.902713
0.738744,,,0.962521,,,0.534516,0.526542,0.77046,0.744239,0.838374,0.889056,1.153693,0.693334,0.93456,0.690202,0.832724,0.929534,0.597855,0.753344,0.779054,0.862071,0.906636,0.872071
0.694257,,,1.05404,,,,,,,,,,,,,,,,,,,,
0.656548,,,0.946908,,,,,,,,,,,,,,,,,,,,
0.737124,,,1.021632,,,,,,,,,,,,,,,,,,,,
