GC_0,GC+VAL_0,TRPL_0,TRPL+VAL_0,A9_2.5,A9_1,A9_0.5,AG1012_2.5,AG1012_1,AG1012_0.5,AG529_2.5,AG529_1,AG529_0.5,C19_2.5,C19_1,C19_0.5,AG879_2.5,AG879_1,AG879_0.5,EN300_2.5,EN300_1,EN300_0.5
1.099939,0.096368,1.009458,0.135862,,0.196325,,0.752436,0.746375,0.927702,0.840156,0.696691,0.940077,0.914006,0.718732,0.99798,0.257477,0.513506,0.77838,0.854424,1.069821,0.931862
0.844524,0.140742,0.959689,0.085327,0.245053,0.186021,0.333181,0.702073,0.931926,0.77366,0.915453,0.920501,0.971907,0.896416,0.859239,0.955143,0.251484,0.482104,0.808213,0.849992,0.962211,0.756293
0.993512,0.175184,0.713451,0.100105,0.140618,0.236129,0.226895,0.633274,0.917535,0.741712,0.715666,0.962327,0.676192,0.768617,0.978405,0.516419,0.245765,0.572734,0.634993,0.706866,0.915029,0.771893
0.861924,0.075267,0.689514,0.125536,0.135854,0.224528,0.241957,0.606502,0.783064,0.813078,0.685091,0.864278,0.950441,0.724548,0.695006,0.790658,0.248234,0.560905,0.639025,0.712508,0.946968,0.943732
0.978893,0.14761,0.863941,0.125862,0.145413,0.158382,0.45598,0.917269,0.982493,0.832299,0.837969,0.792038,0.798152,1.018179,0.856927,0.865915,0.258026,0.528249,0.814212,0.935213,1.009955,0.956938
1.056973,0.110019,0.929658,0.161257,0.189223,0.15929,0.291597,0.756498,0.856905,0.544132,0.837254,0.876443,0.629872,1.004923,1.051047,0.974378,0.224915,0.515085,0.7333,0.841204,1.019702,0.998183
0.923805,0.085055,0.749055,0.086978,0.193441,0.14895,0.310459,0.609954,0.941384,0.75953,0.848171,0.794768,0.756073,0.747182,0.817517,0.783216,0.242145,0.428993,0.657864,0.799958,0.814512,0.946473
1.24043,0.138629,1.11667,0.094791,0.217695,0.189402,0.250062,0.739297,0.83992,0.66474,0.832394,0.776108,0.681308,0.903456,0.886754,1.131338,0.235134,0.584659,0.778821,0.799154,0.986274,0.968155
1.029807,0.11411,0.866208,0.078696,0.159687,0.139908,0.318342,0.708295,0.139908,0.226696,0.9789,1.006186,0.768798,1.075958,0.898139,0.834715,0.190088,0.440653,0.591614,0.851318,0.737824,0.838503
0.81908,,0.840177,,0.206332,0.133914,0.226696,0.647523,0.133914,0.252545,0.957,1.010169,0.904952,0.835468,1.019741,0.734036,0.185755,0.479668,0.689318,0.897318,0.902172,0.76686
1.092008,,1.050336,,0.218841,0.144822,0.252545,0.727204,0.144822,0.240647,1.108927,0.806075,0.789223,1.009385,1.049832,0.692485,0.210177,0.447151,0.579477,0.900613,0.959936,0.730074
1.138746,,1.02976,,0.171504,0.114545,0.240647,0.670192,0.114545,0.316906,1.099571,0.978691,0.848247,0.967562,1.037056,0.897733,0.200624,0.618194,0.659209,0.905223,0.713725,0.768147
1.11982,,0.889402,,0.142123,,0.316906,,,,,,,,,,,,,,,
0.936809,,1.032787,,,,,,,,,,,,,,,,,,,
0.832634,,0.947628,,,,,,,,,,,,,,,,,,,
1.031096,,1.009159,,,,,,,,,,,,,,,,,,,
1.00078,,0.886542,,,,,,,,,,,,,,,,,,,
1.058844,,0.974343,,,,,,,,,,,,,,,,,,,
0.948391,,1.040521,,,,,,,,,,,,,,,,,,,
0.99851,,0.818076,,,,,,,,,,,,,,,,,,,
0.959737,,1.003793,,,,,,,,,,,,,,,,,,,
1.031475,,0.773385,,,,,,,,,,,,,,,,,,,
0.958709,,1.049522,,,,,,,,,,,,,,,,,,,
1.043553,,0.96968,,,,,,,,,,,,,,,,,,,
