,Condition,Values
0,GC,0.560681
2,GC,0.79012
3,GC,1.034226
4,GC,1.050901
5,GC,1.165512
6,GC,0.902298
8,GC,1.26266
9,GC,1.140202
10,GC,0.852367
11,GC,1.118896
12,GC,0.845637
13,GC,0.780238
15,GC,0.918416
16,GC,1.097492
17,GC,0.865062
18,GC,0.931231
19,GC,1.182789
20,GC,0.971107
21,GC,1.033902
22,GC+MG132,0.116063
23,GC+MG132,0.090159
24,GC+MG132,0.069671
30,GC+MG132,0.067452
31,GC+MG132,0.057073
32,GC+MG132,0.178541
37,GC+MG132,0.10073
38,GC+MG132,0.136179
39,GC+MG132,0.108043
45,TRPL_0,0.797108
46,TRPL_0,2.94421
47,TRPL_0,1.785703
48,TRPL_0,0.890308
49,TRPL_0,1.125597
50,TRPL_0,2.109573
52,TRPL_0,0.856843
53,TRPL_0,0.950205
54,TRPL_0,1.306047
57,TRPL_0,0.972732
59,TRPL_0,1.256116
60,TRPL_0,0.999025
61,TRPL_0,1.45306
62,TRPL_0,1.038746
63,TRPL_0,0.862371
64,TRPL_0,0.95423
65,TRPL_0,0.809473
66,TRPL+MG132,0.383177
67,TRPL+MG132,0.357187
68,TRPL+MG132,0.250302
74,TRPL+MG132,0.448479
75,TRPL+MG132,1.091852
81,TRPL+MG132,0.063742
82,TRPL+MG132,0.111415
83,TRPL+MG132,0.152029
88,Tyr_2.5,0.558986
89,Tyr_2.5,0.87485
90,Tyr_2.5,0.588282
91,Tyr_2.5,0.961708
92,Tyr_2.5,0.837917
96,Tyr_2.5,0.637682
97,Tyr_2.5,0.554411
98,Tyr_2.5,0.987029
99,Tyr_2.5,0.539525
100,Tyr_2.5,0.490747
103,Tyr_2.5,0.568706
104,Tyr_2.5,0.763742
105,Tyr_2.5,0.767806
106,Tyr_2.5,0.616869
107,Tyr_2.5,0.575794
110,Tyr_1,1.263075
111,Tyr_1,1.265586
112,Tyr_1,0.599559
113,Tyr_1,0.502103
114,Tyr_1,0.680263
118,Tyr_1,0.643183
119,Tyr_1,0.441241
120,Tyr_1,0.732411
121,Tyr_1,0.685049
122,Tyr_1,0.44755
125,Tyr_1,0.453526
126,Tyr_1,0.347974
127,Tyr_1,0.320506
128,Tyr_1,0.18189
129,Tyr_1,0.203817
132,Tyr_0.5,0.531965
133,Tyr_0.5,0.863522
134,Tyr_0.5,1.342297
135,Tyr_0.5,0.526856
136,Tyr_0.5,0.848166
140,Tyr_0.5,0.463861
141,Tyr_0.5,0.39407
142,Tyr_0.5,0.432126
143,Tyr_0.5,0.592133
144,Tyr_0.5,0.267652
147,Tyr_0.5,0.641943
148,Tyr_0.5,0.672982
149,Tyr_0.5,0.640738
150,Tyr_0.5,0.821134
151,Tyr_0.5,0.53462
