,Condition,Values
0,GC,0.997445
1,GC,1.168552
2,GC,0.945673
3,GC,0.700898
4,GC,1.086951
5,GC,1.100481
8,GC,0.826326
9,GC,1.01864
10,GC,0.888478
11,GC,1.015822
12,GC,0.990496
15,GC,0.667278
16,GC,0.611607
18,GC,0.513435
19,GC,0.911382
20,GC,0.872964
21,GC,0.509806
22,GC+MG132,0.212908
23,GC+MG132,0.202232
24,GC+MG132,0.246658
30,GC+MG132,0.36641
31,GC+MG132,0.2878
32,GC+MG132,0.124363
37,GC+MG132,0.128499
38,GC+MG132,0.082465
39,GC+MG132,0.086425
44,TRPL_0,1.575445
45,TRPL_0,1.831613
46,TRPL_0,1.854221
47,TRPL_0,0.059363
48,TRPL_0,0.886509
49,TRPL_0,0.965276
50,TRPL_0,1.063257
52,TRPL_0,1.762213
53,TRPL_0,1.623357
54,TRPL_0,0.884285
55,TRPL_0,0.893692
56,TRPL_0,0.970219
57,TRPL_0,0.997277
59,TRPL_0,0.823158
60,TRPL_0,1.136567
61,TRPL_0,1.810775
62,TRPL_0,1.02217
63,TRPL_0,1.582821
64,TRPL_0,1.120708
66,TRPL+MG132,0.005449
67,TRPL+MG132,0.008348
68,TRPL+MG132,0.366199
74,TRPL+MG132,0.089076
75,TRPL+MG132,0.182038
76,TRPL+MG132,0.381376
81,TRPL+MG132,0.218086
82,TRPL+MG132,0.086677
83,TRPL+MG132,0.144525
88,Tyr_2.5,0.49029
89,Tyr_2.5,0.775352
90,Tyr_2.5,0.505623
91,Tyr_2.5,0.447296
92,Tyr_2.5,0.454267
94,Tyr_2.5,1.403393
95,Tyr_2.5,2.360147
96,Tyr_2.5,2.303104
97,Tyr_2.5,1.587411
98,Tyr_2.5,1.721307
100,Tyr_2.5,1.020832
101,Tyr_2.5,1.123896
102,Tyr_2.5,0.937059
103,Tyr_2.5,0.903088
104,Tyr_2.5,0.648341
110,Tyr_1,0.582881
111,Tyr_1,0.941016
112,Tyr_1,0.388443
113,Tyr_1,0.513525
114,Tyr_1,0.783313
116,Tyr_1,1.458829
117,Tyr_1,1.792812
118,Tyr_1,0.8265
119,Tyr_1,2.246539
120,Tyr_1,0.843116
122,Tyr_1,1.715906
123,Tyr_1,1.456907
124,Tyr_1,0.754862
125,Tyr_1,1.399946
126,Tyr_1,0.644601
132,Tyr_0.5,0.346474
133,Tyr_0.5,0.327544
134,Tyr_0.5,0.818812
135,Tyr_0.5,0.451312
136,Tyr_0.5,0.278509
138,Tyr_0.5,1.835684
139,Tyr_0.5,0.99952
140,Tyr_0.5,1.844325
141,Tyr_0.5,2.387874
142,Tyr_0.5,0.991392
144,Tyr_0.5,0.708735
145,Tyr_0.5,0.759024
146,Tyr_0.5,1.047444
147,Tyr_0.5,0.813077
148,Tyr_0.5,1.065851
