Condition,SYN15 (Vinc),SYN33 (Vinc),SYN15 (Actin),SYN33 (Actin),Replicate
SNCA-3x,1,1,,,1
SNCA-3x,1,1,1,,2
SNCA-3x,1,1,1,1,3
SNCA-3x + Prostratin,,,,,1
SNCA-3x + Prostratin,0.214861697,0.329256226,0.40677701,,2
SNCA-3x + Prostratin,0.495764102,1.117450465,0.520260062,1.172664269,3
SNCA-3x + Tyr A9 (0.3 uM),0.441848901,0.513253128,,,1
SNCA-3x + Tyr A9 (0.3 uM),0.380349681,0.249659466,0.654441496,,2
SNCA-3x + Tyr A9 (0.3 uM),1.65422488,0.280190547,0.792120996,0.134168466,3
SNCA-3x + Tyr A9 (2.5 uM),0.581013449,0.590577689,,,1
SNCA-3x + Tyr A9 (2.5 uM),0.624034493,0.515624324,0.564256106,,2
SNCA-3x + Tyr A9 (2.5 uM),0.614548967,0.532094964,0.859760426,0.744406414,3
