GC,GC+MG132,TRPL_0,TRPL+MG132,Tyr_2.5,Tyr_1,Tyr_0.5
0.560681,0.116063,,0.383177,0.558986,1.263075,0.531965
,0.090159,0.797108,0.357187,0.87485,1.265586,0.863522
0.79012,0.069671,2.94421,0.250302,0.588282,0.599559,1.342297
1.034226,,1.785703,,0.961708,0.502103,0.526856
1.050901,,0.890308,,0.837917,0.680263,0.848166
1.165512,,1.125597,,,,
0.902298,,2.109573,,,,
,,,,,,
1.26266,0.067452,0.856843,0.448479,0.637682,0.643183,0.463861
1.140202,0.057073,0.950205,1.091852,0.554411,0.441241,0.39407
0.852367,0.178541,1.306047,,0.987029,0.732411,0.432126
1.118896,,,,0.539525,0.685049,0.592133
0.845637,,,,0.490747,0.44755,0.267652
0.780238,,0.972732,,,,
,,,,,,
0.918416,0.10073,1.256116,0.063742,0.568706,0.453526,0.641943
1.097492,0.136179,0.999025,0.111415,0.763742,0.347974,0.672982
0.865062,0.108043,1.45306,0.152029,0.767806,0.320506,0.640738
0.931231,,1.038746,,0.616869,0.18189,0.821134
1.182789,,0.862371,,0.575794,0.203817,0.53462
0.971107,,0.95423,,,,
1.033902,,0.809473,,,,
