GC,GC+MG132,TRPL_0,TRPL+MG132,Tyr_2.5,Tyr_1,Tyr_0.5
0.997445,0.212908,1.575445,0.005449,0.49029,0.582881,0.346474
1.168552,0.202232,1.831613,0.008348,0.775352,0.941016,0.327544
0.945673,0.246658,1.854221,0.366199,0.505623,0.388443,0.818812
0.700898,,0.059363,,0.447296,0.513525,0.451312
1.086951,,0.886509,,0.454267,0.783313,0.278509
1.100481,,0.965276,,,,
,,1.063257,,1.403393,1.458829,1.835684
,,,,2.360147,1.792812,0.99952
0.826326,0.36641,1.762213,0.089076,2.303104,0.8265,1.844325
1.01864,0.2878,1.623357,0.182038,1.587411,2.246539,2.387874
0.888478,0.124363,0.884285,0.381376,1.721307,0.843116,0.991392
1.015822,,0.893692,,,,
0.990496,,0.970219,,1.020832,1.715906,0.708735
,,0.997277,,1.123896,1.456907,0.759024
,,,,0.937059,0.754862,1.047444
0.667278,0.128499,0.823158,0.218086,0.903088,1.399946,0.813077
0.611607,0.082465,1.136567,0.086677,0.648341,0.644601,1.065851
,0.086425,1.810775,0.144525,,,
0.513435,,1.02217,,,,
0.911382,,1.582821,,,,
0.872964,,1.120708,,,,
0.509806,,,,,,
